database,comparison,total_samples,valid_pairs,missing_pairs,mean_delta,improved,regressed,unchanged
DB1_B,step0_minus_raw,4,4,0,0.0,0,0,4
DB1_B,stage1_minus_step0,4,4,0,3.75,3,1,0
DB1_B,stage1_minus_raw,4,4,0,3.75,3,1,0
DB1_B,stage2_minus_stage1,4,4,0,3.5,3,1,0
DB1_B,stage3_minus_stage2,4,4,0,6.0,4,0,0
DB1_B,stage3_minus_raw,4,4,0,13.25,4,0,0
DB2_B,step0_minus_raw,4,4,0,0.0,0,0,4
DB2_B,stage1_minus_step0,4,4,0,1.0,2,2,0
DB2_B,stage1_minus_raw,4,4,0,1.0,2,2,0
DB2_B,stage2_minus_stage1,4,4,0,2.5,3,1,0
DB2_B,stage3_minus_stage2,4,4,0,-0.5,2,1,1
DB2_B,stage3_minus_raw,4,4,0,3.0,2,1,1
DB3_B,step0_minus_raw,4,4,0,0.0,0,0,4
DB3_B,stage1_minus_step0,4,4,0,1.5,2,2,0
DB3_B,stage1_minus_raw,4,4,0,1.5,2,2,0
DB3_B,stage2_minus_stage1,4,4,0,-3.25,2,2,0
DB3_B,stage3_minus_stage2,4,4,0,7.25,3,1,0
DB3_B,stage3_minus_raw,4,4,0,5.5,3,1,0
DB4_B,step0_minus_raw,4,4,0,0.0,0,0,4
DB4_B,stage1_minus_step0,4,4,0,5.75,3,0,1
DB4_B,stage1_minus_raw,4,4,0,5.75,3,0,1
DB4_B,stage2_minus_stage1,4,4,0,1.5,2,1,1
DB4_B,stage3_minus_stage2,4,4,0,5.5,3,1,0
DB4_B,stage3_minus_raw,4,4,0,12.75,4,0,0
