database,filename,stage3_equals_enhance,raw_nfiq2,raw_error,step0_nfiq2,step0_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,step0_minus_raw,stage1_minus_step0,stage1_minus_raw,stage2_minus_stage1,stage3_minus_stage2,stage3_minus_raw
DB1_B,102_7.tif,True,31.0,,31.0,,42.0,,47.0,,52.0,,0.0,11.0,11.0,5.0,5.0,21.0
DB1_B,101_4.tif,True,30.0,,30.0,,38.0,,32.0,,44.0,,0.0,8.0,8.0,-6.0,12.0,14.0
DB1_B,105_4.tif,True,55.0,,55.0,,59.0,,62.0,,68.0,,0.0,4.0,4.0,3.0,6.0,13.0
DB1_B,104_8.tif,True,69.0,,69.0,,61.0,,73.0,,74.0,,0.0,-8.0,-8.0,12.0,1.0,5.0
DB2_B,104_5.tif,True,54.0,,54.0,,48.0,,50.0,,58.0,,0.0,-6.0,-6.0,2.0,8.0,4.0
DB2_B,103_2.tif,True,48.0,,48.0,,53.0,,42.0,,48.0,,0.0,5.0,5.0,-11.0,6.0,0.0
DB2_B,102_6.tif,True,66.0,,66.0,,64.0,,74.0,,58.0,,0.0,-2.0,-2.0,10.0,-16.0,-8.0
DB2_B,109_6.tif,True,17.0,,17.0,,24.0,,33.0,,33.0,,0.0,7.0,7.0,9.0,0.0,16.0
DB3_B,102_4.tif,True,26.0,,26.0,,31.0,,37.0,,50.0,,0.0,5.0,5.0,6.0,13.0,24.0
DB3_B,110_4.tif,True,19.0,,19.0,,15.0,,16.0,,21.0,,0.0,-4.0,-4.0,1.0,5.0,2.0
DB3_B,107_7.tif,True,12.0,,12.0,,10.0,,7.0,,6.0,,0.0,-2.0,-2.0,-3.0,-1.0,-6.0
DB3_B,101_5.tif,True,42.0,,42.0,,49.0,,32.0,,44.0,,0.0,7.0,7.0,-17.0,12.0,2.0
DB4_B,101_4.tif,True,50.0,,50.0,,50.0,,55.0,,54.0,,0.0,0.0,0.0,5.0,-1.0,4.0
DB4_B,102_4.tif,True,38.0,,38.0,,56.0,,56.0,,59.0,,0.0,18.0,18.0,0.0,3.0,21.0
DB4_B,104_4.tif,True,45.0,,45.0,,47.0,,45.0,,48.0,,0.0,2.0,2.0,-2.0,3.0,3.0
DB4_B,104_6.tif,True,31.0,,31.0,,34.0,,37.0,,54.0,,0.0,3.0,3.0,3.0,17.0,23.0
