database,filename,stage,nfiq2,error,scored_path,height,width,dtype
DB1_B,102_7.tif,raw,31.0,,data\raw\DB1_B\102_7.tif,374,388,uint8
DB1_B,102_7.tif,step0,31.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\102_7\step0.tif,374,388,uint8
DB1_B,102_7.tif,stage1,42.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\102_7\stage1.tif,374,388,uint8
DB1_B,102_7.tif,stage2,47.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\102_7\stage2.tif,374,388,uint8
DB1_B,102_7.tif,stage3,52.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\102_7\stage3.tif,374,388,uint8
DB1_B,101_4.tif,raw,30.0,,data\raw\DB1_B\101_4.tif,374,388,uint8
DB1_B,101_4.tif,step0,30.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\101_4\step0.tif,374,388,uint8
DB1_B,101_4.tif,stage1,38.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\101_4\stage1.tif,374,388,uint8
DB1_B,101_4.tif,stage2,32.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\101_4\stage2.tif,374,388,uint8
DB1_B,101_4.tif,stage3,44.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\101_4\stage3.tif,374,388,uint8
DB1_B,105_4.tif,raw,55.0,,data\raw\DB1_B\105_4.tif,374,388,uint8
DB1_B,105_4.tif,step0,55.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\105_4\step0.tif,374,388,uint8
DB1_B,105_4.tif,stage1,59.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\105_4\stage1.tif,374,388,uint8
DB1_B,105_4.tif,stage2,62.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\105_4\stage2.tif,374,388,uint8
DB1_B,105_4.tif,stage3,68.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\105_4\stage3.tif,374,388,uint8
DB1_B,104_8.tif,raw,69.0,,data\raw\DB1_B\104_8.tif,374,388,uint8
DB1_B,104_8.tif,step0,69.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\104_8\step0.tif,374,388,uint8
DB1_B,104_8.tif,stage1,61.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\104_8\stage1.tif,374,388,uint8
DB1_B,104_8.tif,stage2,73.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\104_8\stage2.tif,374,388,uint8
DB1_B,104_8.tif,stage3,74.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB1_B\104_8\stage3.tif,374,388,uint8
DB2_B,104_5.tif,raw,54.0,,data\raw\DB2_B\104_5.tif,560,296,uint8
DB2_B,104_5.tif,step0,54.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\104_5\step0.tif,560,296,uint8
DB2_B,104_5.tif,stage1,48.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\104_5\stage1.tif,560,296,uint8
DB2_B,104_5.tif,stage2,50.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\104_5\stage2.tif,560,296,uint8
DB2_B,104_5.tif,stage3,58.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\104_5\stage3.tif,560,296,uint8
DB2_B,103_2.tif,raw,48.0,,data\raw\DB2_B\103_2.tif,560,296,uint8
DB2_B,103_2.tif,step0,48.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\103_2\step0.tif,560,296,uint8
DB2_B,103_2.tif,stage1,53.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\103_2\stage1.tif,560,296,uint8
DB2_B,103_2.tif,stage2,42.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\103_2\stage2.tif,560,296,uint8
DB2_B,103_2.tif,stage3,48.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\103_2\stage3.tif,560,296,uint8
DB2_B,102_6.tif,raw,66.0,,data\raw\DB2_B\102_6.tif,560,296,uint8
DB2_B,102_6.tif,step0,66.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\102_6\step0.tif,560,296,uint8
DB2_B,102_6.tif,stage1,64.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\102_6\stage1.tif,560,296,uint8
DB2_B,102_6.tif,stage2,74.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\102_6\stage2.tif,560,296,uint8
DB2_B,102_6.tif,stage3,58.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\102_6\stage3.tif,560,296,uint8
DB2_B,109_6.tif,raw,17.0,,data\raw\DB2_B\109_6.tif,560,296,uint8
DB2_B,109_6.tif,step0,17.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\109_6\step0.tif,560,296,uint8
DB2_B,109_6.tif,stage1,24.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\109_6\stage1.tif,560,296,uint8
DB2_B,109_6.tif,stage2,33.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\109_6\stage2.tif,560,296,uint8
DB2_B,109_6.tif,stage3,33.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB2_B\109_6\stage3.tif,560,296,uint8
DB3_B,102_4.tif,raw,26.0,,data\raw\DB3_B\102_4.tif,300,300,uint8
DB3_B,102_4.tif,step0,26.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\102_4\step0.tif,300,300,uint8
DB3_B,102_4.tif,stage1,31.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\102_4\stage1.tif,300,300,uint8
DB3_B,102_4.tif,stage2,37.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\102_4\stage2.tif,300,300,uint8
DB3_B,102_4.tif,stage3,50.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\102_4\stage3.tif,300,300,uint8
DB3_B,110_4.tif,raw,19.0,,data\raw\DB3_B\110_4.tif,300,300,uint8
DB3_B,110_4.tif,step0,19.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\110_4\step0.tif,300,300,uint8
DB3_B,110_4.tif,stage1,15.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\110_4\stage1.tif,300,300,uint8
DB3_B,110_4.tif,stage2,16.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\110_4\stage2.tif,300,300,uint8
DB3_B,110_4.tif,stage3,21.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\110_4\stage3.tif,300,300,uint8
DB3_B,107_7.tif,raw,12.0,,data\raw\DB3_B\107_7.tif,300,300,uint8
DB3_B,107_7.tif,step0,12.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\107_7\step0.tif,300,300,uint8
DB3_B,107_7.tif,stage1,10.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\107_7\stage1.tif,300,300,uint8
DB3_B,107_7.tif,stage2,7.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\107_7\stage2.tif,300,300,uint8
DB3_B,107_7.tif,stage3,6.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\107_7\stage3.tif,300,300,uint8
DB3_B,101_5.tif,raw,42.0,,data\raw\DB3_B\101_5.tif,300,300,uint8
DB3_B,101_5.tif,step0,42.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\101_5\step0.tif,300,300,uint8
DB3_B,101_5.tif,stage1,49.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\101_5\stage1.tif,300,300,uint8
DB3_B,101_5.tif,stage2,32.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\101_5\stage2.tif,300,300,uint8
DB3_B,101_5.tif,stage3,44.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB3_B\101_5\stage3.tif,300,300,uint8
DB4_B,101_4.tif,raw,50.0,,data\raw\DB4_B\101_4.tif,384,288,uint8
DB4_B,101_4.tif,step0,50.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB4_B\101_4\step0.tif,384,288,uint8
DB4_B,101_4.tif,stage1,50.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB4_B\101_4\stage1.tif,384,288,uint8
DB4_B,101_4.tif,stage2,55.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB4_B\101_4\stage2.tif,384,288,uint8
DB4_B,101_4.tif,stage3,54.0,,data\pipeline_a_16_sample_cumulative_nfiq2_v2_3_0_20260904\stage_images\DB4_B\101_4\stage3.tif,384,288,uint8
