database,filename,raw_matches,step0_matches,stage1_matches,stage2_matches,stage3_matches
DB1_B,102_7.tif,True,True,True,True,True
DB1_B,101_4.tif,True,True,True,True,True
DB1_B,105_4.tif,True,True,True,True,True
DB1_B,104_8.tif,True,True,True,True,True
DB2_B,104_5.tif,True,True,True,True,True
DB2_B,103_2.tif,True,True,True,True,True
DB2_B,102_6.tif,True,True,True,True,True
DB2_B,109_6.tif,True,True,True,True,True
DB3_B,102_4.tif,True,True,True,True,True
DB3_B,110_4.tif,True,True,True,True,True
DB3_B,107_7.tif,True,True,True,True,True
DB3_B,101_5.tif,True,True,True,True,True
DB4_B,101_4.tif,True,True,True,True,True
DB4_B,102_4.tif,True,True,True,True,True
DB4_B,104_4.tif,True,True,True,True,True
DB4_B,104_6.tif,True,True,True,True,True
