scope,configuration,total_samples,valid_final_pairs,missing_final_pairs,mean_stage1_minus_raw,mean_stage2_minus_stage1,mean_stage3_minus_stage2,mean_stage3_minus_raw,mean_stage3_minus_baseline_A,final_improved,final_regressed,final_unchanged,worst_final_delta,worst_database,worst_filename
ALL,A,16,16,0,3.0,1.0625,4.5625,8.625,0.0,13,2,1,-8.0,DB2_B,102_6.tif
ALL,B,16,16,0,3.5,-0.0625,5.8125,9.25,0.625,14,2,0,-9.0,DB2_B,102_6.tif
ALL,C,16,16,0,3.0,-0.375,5.5625,8.1875,-0.4375,12,4,0,-5.0,DB3_B,107_7.tif
ALL,D,16,16,0,3.0,1.0625,3.3125,7.375,-1.25,12,3,1,-9.0,DB2_B,103_2.tif
DB1_B,A,4,4,0,3.75,3.5,6.0,13.25,0.0,4,0,0,5.0,DB1_B,104_8.tif
DB1_B,B,4,4,0,6.25,-1.25,7.0,12.0,-1.25,4,0,0,9.0,DB1_B,101_4.tif
DB1_B,C,4,4,0,3.75,2.25,7.0,13.0,-0.25,4,0,0,10.0,DB1_B,101_4.tif
DB1_B,D,4,4,0,3.75,3.5,2.25,9.5,-3.75,4,0,0,2.0,DB1_B,105_4.tif
DB2_B,A,4,4,0,1.0,2.5,-0.5,3.0,0.0,2,1,1,-8.0,DB2_B,102_6.tif
DB2_B,B,4,4,0,1.5,1.5,2.25,5.25,2.25,3,1,0,-9.0,DB2_B,102_6.tif
DB2_B,C,4,4,0,1.0,3.25,0.75,5.0,2.0,3,1,0,-1.0,DB2_B,102_6.tif
DB2_B,D,4,4,0,1.0,2.5,-1.5,2.0,-1.0,2,1,1,-9.0,DB2_B,103_2.tif
DB3_B,A,4,4,0,1.5,-3.25,7.25,5.5,0.0,3,1,0,-6.0,DB3_B,107_7.tif
DB3_B,B,4,4,0,4.75,-5.25,6.25,5.75,0.25,3,1,0,-5.0,DB3_B,107_7.tif
DB3_B,C,4,4,0,1.5,-4.75,6.5,3.25,-2.25,2,2,0,-5.0,DB3_B,107_7.tif
DB3_B,D,4,4,0,1.5,-3.25,6.25,4.5,-1.0,2,2,0,-6.0,DB3_B,107_7.tif
DB4_B,A,4,4,0,5.75,1.5,5.5,12.75,0.0,4,0,0,3.0,DB4_B,104_4.tif
DB4_B,B,4,4,0,1.5,4.75,7.75,14.0,1.25,4,0,0,2.0,DB4_B,101_4.tif
DB4_B,C,4,4,0,5.75,-2.25,8.0,11.5,-1.25,3,1,0,-1.0,DB4_B,104_4.tif
DB4_B,D,4,4,0,5.75,1.5,6.25,13.5,0.75,4,0,0,7.0,DB4_B,101_4.tif
