configuration,database,filename,stage,nfiq2,error
A,DB1_B,102_7.tif,raw,31.0,
A,DB1_B,102_7.tif,step0,31.0,
A,DB1_B,102_7.tif,stage1,42.0,
A,DB1_B,102_7.tif,stage2,47.0,
A,DB1_B,102_7.tif,stage3,52.0,
B,DB1_B,102_7.tif,raw,31.0,
B,DB1_B,102_7.tif,step0,31.0,
B,DB1_B,102_7.tif,stage1,42.0,
B,DB1_B,102_7.tif,stage2,43.0,
B,DB1_B,102_7.tif,stage3,46.0,
C,DB1_B,102_7.tif,raw,31.0,
C,DB1_B,102_7.tif,step0,31.0,
C,DB1_B,102_7.tif,stage1,42.0,
C,DB1_B,102_7.tif,stage2,42.0,
C,DB1_B,102_7.tif,stage3,49.0,
D,DB1_B,102_7.tif,raw,31.0,
D,DB1_B,102_7.tif,step0,31.0,
D,DB1_B,102_7.tif,stage1,42.0,
D,DB1_B,102_7.tif,stage2,47.0,
D,DB1_B,102_7.tif,stage3,44.0,
A,DB1_B,101_4.tif,raw,30.0,
A,DB1_B,101_4.tif,step0,30.0,
A,DB1_B,101_4.tif,stage1,38.0,
A,DB1_B,101_4.tif,stage2,32.0,
A,DB1_B,101_4.tif,stage3,44.0,
B,DB1_B,101_4.tif,raw,30.0,
B,DB1_B,101_4.tif,step0,30.0,
B,DB1_B,101_4.tif,stage1,39.0,
B,DB1_B,101_4.tif,stage2,30.0,
B,DB1_B,101_4.tif,stage3,39.0,
C,DB1_B,101_4.tif,raw,30.0,
C,DB1_B,101_4.tif,step0,30.0,
C,DB1_B,101_4.tif,stage1,38.0,
C,DB1_B,101_4.tif,stage2,30.0,
C,DB1_B,101_4.tif,stage3,40.0,
D,DB1_B,101_4.tif,raw,30.0,
D,DB1_B,101_4.tif,step0,30.0,
D,DB1_B,101_4.tif,stage1,38.0,
D,DB1_B,101_4.tif,stage2,32.0,
D,DB1_B,101_4.tif,stage3,45.0,
A,DB1_B,105_4.tif,raw,55.0,
A,DB1_B,105_4.tif,step0,55.0,
A,DB1_B,105_4.tif,stage1,59.0,
A,DB1_B,105_4.tif,stage2,62.0,
A,DB1_B,105_4.tif,stage3,68.0,
B,DB1_B,105_4.tif,raw,55.0,
B,DB1_B,105_4.tif,step0,55.0,
B,DB1_B,105_4.tif,stage1,62.0,
B,DB1_B,105_4.tif,stage2,60.0,
B,DB1_B,105_4.tif,stage3,68.0,
C,DB1_B,105_4.tif,raw,55.0,
C,DB1_B,105_4.tif,step0,55.0,
C,DB1_B,105_4.tif,stage1,59.0,
C,DB1_B,105_4.tif,stage2,65.0,
C,DB1_B,105_4.tif,stage3,66.0,
D,DB1_B,105_4.tif,raw,55.0,
D,DB1_B,105_4.tif,step0,55.0,
D,DB1_B,105_4.tif,stage1,59.0,
D,DB1_B,105_4.tif,stage2,62.0,
D,DB1_B,105_4.tif,stage3,57.0,
A,DB1_B,104_8.tif,raw,69.0,
A,DB1_B,104_8.tif,step0,69.0,
A,DB1_B,104_8.tif,stage1,61.0,
A,DB1_B,104_8.tif,stage2,73.0,
A,DB1_B,104_8.tif,stage3,74.0,
B,DB1_B,104_8.tif,raw,69.0,
B,DB1_B,104_8.tif,step0,69.0,
B,DB1_B,104_8.tif,stage1,67.0,
B,DB1_B,104_8.tif,stage2,72.0,
B,DB1_B,104_8.tif,stage3,80.0,
C,DB1_B,104_8.tif,raw,69.0,
C,DB1_B,104_8.tif,step0,69.0,
C,DB1_B,104_8.tif,stage1,61.0,
C,DB1_B,104_8.tif,stage2,72.0,
C,DB1_B,104_8.tif,stage3,82.0,
D,DB1_B,104_8.tif,raw,69.0,
D,DB1_B,104_8.tif,step0,69.0,
D,DB1_B,104_8.tif,stage1,61.0,
D,DB1_B,104_8.tif,stage2,73.0,
D,DB1_B,104_8.tif,stage3,77.0,
A,DB2_B,104_5.tif,raw,54.0,
A,DB2_B,104_5.tif,step0,54.0,
A,DB2_B,104_5.tif,stage1,48.0,
A,DB2_B,104_5.tif,stage2,50.0,
A,DB2_B,104_5.tif,stage3,58.0,
B,DB2_B,104_5.tif,raw,54.0,
B,DB2_B,104_5.tif,step0,54.0,
B,DB2_B,104_5.tif,stage1,41.0,
B,DB2_B,104_5.tif,stage2,47.0,
B,DB2_B,104_5.tif,stage3,55.0,
C,DB2_B,104_5.tif,raw,54.0,
C,DB2_B,104_5.tif,step0,54.0,
C,DB2_B,104_5.tif,stage1,48.0,
C,DB2_B,104_5.tif,stage2,52.0,
C,DB2_B,104_5.tif,stage3,57.0,
D,DB2_B,104_5.tif,raw,54.0,
D,DB2_B,104_5.tif,step0,54.0,
D,DB2_B,104_5.tif,stage1,48.0,
D,DB2_B,104_5.tif,stage2,50.0,
D,DB2_B,104_5.tif,stage3,54.0,
A,DB2_B,103_2.tif,raw,48.0,
A,DB2_B,103_2.tif,step0,48.0,
A,DB2_B,103_2.tif,stage1,53.0,
A,DB2_B,103_2.tif,stage2,42.0,
A,DB2_B,103_2.tif,stage3,48.0,
B,DB2_B,103_2.tif,raw,48.0,
B,DB2_B,103_2.tif,step0,48.0,
B,DB2_B,103_2.tif,stage1,55.0,
B,DB2_B,103_2.tif,stage2,53.0,
B,DB2_B,103_2.tif,stage3,58.0,
C,DB2_B,103_2.tif,raw,48.0,
C,DB2_B,103_2.tif,step0,48.0,
C,DB2_B,103_2.tif,stage1,53.0,
C,DB2_B,103_2.tif,stage2,54.0,
C,DB2_B,103_2.tif,stage3,50.0,
D,DB2_B,103_2.tif,raw,48.0,
D,DB2_B,103_2.tif,step0,48.0,
D,DB2_B,103_2.tif,stage1,53.0,
D,DB2_B,103_2.tif,stage2,42.0,
D,DB2_B,103_2.tif,stage3,39.0,
A,DB2_B,102_6.tif,raw,66.0,
A,DB2_B,102_6.tif,step0,66.0,
A,DB2_B,102_6.tif,stage1,64.0,
A,DB2_B,102_6.tif,stage2,74.0,
A,DB2_B,102_6.tif,stage3,58.0,
B,DB2_B,102_6.tif,raw,66.0,
B,DB2_B,102_6.tif,step0,66.0,
B,DB2_B,102_6.tif,stage1,73.0,
B,DB2_B,102_6.tif,stage2,73.0,
B,DB2_B,102_6.tif,stage3,57.0,
C,DB2_B,102_6.tif,raw,66.0,
C,DB2_B,102_6.tif,step0,66.0,
C,DB2_B,102_6.tif,stage1,64.0,
C,DB2_B,102_6.tif,stage2,69.0,
C,DB2_B,102_6.tif,stage3,65.0,
D,DB2_B,102_6.tif,raw,66.0,
D,DB2_B,102_6.tif,step0,66.0,
D,DB2_B,102_6.tif,stage1,64.0,
D,DB2_B,102_6.tif,stage2,74.0,
D,DB2_B,102_6.tif,stage3,73.0,
A,DB2_B,109_6.tif,raw,17.0,
A,DB2_B,109_6.tif,step0,17.0,
A,DB2_B,109_6.tif,stage1,24.0,
A,DB2_B,109_6.tif,stage2,33.0,
A,DB2_B,109_6.tif,stage3,33.0,
B,DB2_B,109_6.tif,raw,17.0,
B,DB2_B,109_6.tif,step0,17.0,
B,DB2_B,109_6.tif,stage1,22.0,
B,DB2_B,109_6.tif,stage2,24.0,
B,DB2_B,109_6.tif,stage3,36.0,
C,DB2_B,109_6.tif,raw,17.0,
C,DB2_B,109_6.tif,step0,17.0,
C,DB2_B,109_6.tif,stage1,24.0,
C,DB2_B,109_6.tif,stage2,27.0,
C,DB2_B,109_6.tif,stage3,33.0,
D,DB2_B,109_6.tif,raw,17.0,
D,DB2_B,109_6.tif,step0,17.0,
D,DB2_B,109_6.tif,stage1,24.0,
D,DB2_B,109_6.tif,stage2,33.0,
D,DB2_B,109_6.tif,stage3,27.0,
A,DB3_B,102_4.tif,raw,26.0,
A,DB3_B,102_4.tif,step0,26.0,
A,DB3_B,102_4.tif,stage1,31.0,
A,DB3_B,102_4.tif,stage2,37.0,
A,DB3_B,102_4.tif,stage3,50.0,
B,DB3_B,102_4.tif,raw,26.0,
B,DB3_B,102_4.tif,step0,26.0,
B,DB3_B,102_4.tif,stage1,40.0,
B,DB3_B,102_4.tif,stage2,39.0,
B,DB3_B,102_4.tif,stage3,49.0,
C,DB3_B,102_4.tif,raw,26.0,
C,DB3_B,102_4.tif,step0,26.0,
C,DB3_B,102_4.tif,stage1,31.0,
C,DB3_B,102_4.tif,stage2,35.0,
C,DB3_B,102_4.tif,stage3,46.0,
D,DB3_B,102_4.tif,raw,26.0,
D,DB3_B,102_4.tif,step0,26.0,
D,DB3_B,102_4.tif,stage1,31.0,
D,DB3_B,102_4.tif,stage2,37.0,
D,DB3_B,102_4.tif,stage3,45.0,
A,DB3_B,110_4.tif,raw,19.0,
A,DB3_B,110_4.tif,step0,19.0,
A,DB3_B,110_4.tif,stage1,15.0,
A,DB3_B,110_4.tif,stage2,16.0,
A,DB3_B,110_4.tif,stage3,21.0,
B,DB3_B,110_4.tif,raw,19.0,
B,DB3_B,110_4.tif,step0,19.0,
B,DB3_B,110_4.tif,stage1,19.0,
B,DB3_B,110_4.tif,stage2,20.0,
B,DB3_B,110_4.tif,stage3,22.0,
C,DB3_B,110_4.tif,raw,19.0,
C,DB3_B,110_4.tif,step0,19.0,
C,DB3_B,110_4.tif,stage1,15.0,
