database,filename,height,width,dtype,stage3_equals_enhance,validation_error,raw_nfiq2,raw_error,step0_nfiq2,step0_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,step0_minus_raw,stage1_minus_step0,stage1_minus_raw,stage2_minus_stage1,stage2_minus_raw,stage3_minus_stage2,stage3_minus_raw
DB1_B,101_1.tif,374,388,uint8,True,,65.0,,65.0,,55.0,,64.0,,56.0,,0.0,-10.0,-10.0,9.0,-1.0,-8.0,-9.0
DB1_B,101_2.tif,374,388,uint8,True,,43.0,,43.0,,46.0,,46.0,,53.0,,0.0,3.0,3.0,0.0,3.0,7.0,10.0
DB1_B,101_3.tif,374,388,uint8,True,,58.0,,58.0,,58.0,,56.0,,55.0,,0.0,0.0,0.0,-2.0,-2.0,-1.0,-3.0
DB1_B,101_4.tif,374,388,uint8,True,,30.0,,30.0,,38.0,,32.0,,44.0,,0.0,8.0,8.0,-6.0,2.0,12.0,14.0
DB1_B,101_5.tif,374,388,uint8,True,,25.0,,25.0,,34.0,,29.0,,31.0,,0.0,9.0,9.0,-5.0,4.0,2.0,6.0
DB1_B,101_6.tif,374,388,uint8,True,,86.0,,86.0,,83.0,,80.0,,75.0,,0.0,-3.0,-3.0,-3.0,-6.0,-5.0,-11.0
DB1_B,101_7.tif,374,388,uint8,True,,65.0,,65.0,,54.0,,62.0,,51.0,,0.0,-11.0,-11.0,8.0,-3.0,-11.0,-14.0
DB1_B,101_8.tif,374,388,uint8,True,,38.0,,38.0,,46.0,,42.0,,42.0,,0.0,8.0,8.0,-4.0,4.0,0.0,4.0
DB1_B,102_1.tif,374,388,uint8,True,,66.0,,66.0,,81.0,,74.0,,78.0,,0.0,15.0,15.0,-7.0,8.0,4.0,12.0
DB1_B,102_2.tif,374,388,uint8,True,,69.0,,69.0,,76.0,,70.0,,57.0,,0.0,7.0,7.0,-6.0,1.0,-13.0,-12.0
DB1_B,102_3.tif,374,388,uint8,True,,53.0,,53.0,,66.0,,56.0,,72.0,,0.0,13.0,13.0,-10.0,3.0,16.0,19.0
DB1_B,102_4.tif,374,388,uint8,True,,84.0,,84.0,,79.0,,72.0,,75.0,,0.0,-5.0,-5.0,-7.0,-12.0,3.0,-9.0
DB1_B,102_5.tif,374,388,uint8,True,,49.0,,49.0,,53.0,,55.0,,50.0,,0.0,4.0,4.0,2.0,6.0,-5.0,1.0
DB1_B,102_6.tif,374,388,uint8,True,,87.0,,87.0,,88.0,,69.0,,59.0,,0.0,1.0,1.0,-19.0,-18.0,-10.0,-28.0
DB1_B,102_7.tif,374,388,uint8,True,,31.0,,31.0,,42.0,,47.0,,52.0,,0.0,11.0,11.0,5.0,16.0,5.0,21.0
DB1_B,102_8.tif,374,388,uint8,True,,47.0,,47.0,,45.0,,43.0,,43.0,,0.0,-2.0,-2.0,-2.0,-4.0,0.0,-4.0
DB1_B,103_1.tif,374,388,uint8,True,,62.0,,62.0,,79.0,,74.0,,62.0,,0.0,17.0,17.0,-5.0,12.0,-12.0,0.0
DB1_B,103_2.tif,374,388,uint8,True,,67.0,,67.0,,65.0,,65.0,,64.0,,0.0,-2.0,-2.0,0.0,-2.0,-1.0,-3.0
