database,filename,stage3_equals_enhance,array_errors,raw_score,raw_expected,raw_score_match,raw_error,step0_pixels_match_old,step0_score,step0_expected,step0_score_match,step0_error,stage1_pixels_match_old,stage1_score,stage1_expected,stage1_score_match,stage1_error,stage2_pixels_match_old,stage2_score,stage2_expected,stage2_score_match,stage2_error,stage3_pixels_match_old,stage3_score,stage3_expected,stage3_score_match,stage3_error
DB1_B,102_7.tif,True,,31.0,31.0,True,,True,31.0,31.0,True,,True,42.0,42.0,True,,True,47.0,47.0,True,,True,52.0,52.0,True,
DB1_B,101_4.tif,True,,30.0,30.0,True,,True,30.0,30.0,True,,True,38.0,38.0,True,,True,32.0,32.0,True,,True,44.0,44.0,True,
DB1_B,105_4.tif,True,,55.0,55.0,True,,True,55.0,55.0,True,,True,59.0,59.0,True,,True,62.0,62.0,True,,True,68.0,68.0,True,
DB1_B,104_8.tif,True,,69.0,69.0,True,,True,69.0,69.0,True,,True,61.0,61.0,True,,True,73.0,73.0,True,,True,74.0,74.0,True,
DB2_B,104_5.tif,True,,54.0,54.0,True,,True,54.0,54.0,True,,True,48.0,48.0,True,,True,50.0,50.0,True,,True,58.0,58.0,True,
DB2_B,103_2.tif,True,,48.0,48.0,True,,True,48.0,48.0,True,,True,53.0,53.0,True,,True,42.0,42.0,True,,True,48.0,48.0,True,
DB2_B,102_6.tif,True,,66.0,66.0,True,,True,66.0,66.0,True,,True,64.0,64.0,True,,True,74.0,74.0,True,,True,58.0,58.0,True,
DB2_B,109_6.tif,True,,17.0,17.0,True,,True,17.0,17.0,True,,True,24.0,24.0,True,,True,33.0,33.0,True,,True,33.0,33.0,True,
DB3_B,102_4.tif,True,,26.0,26.0,True,,True,26.0,26.0,True,,True,31.0,31.0,True,,True,37.0,37.0,True,,True,50.0,50.0,True,
DB3_B,110_4.tif,True,,19.0,19.0,True,,True,19.0,19.0,True,,True,15.0,15.0,True,,True,16.0,16.0,True,,True,21.0,21.0,True,
DB3_B,107_7.tif,True,,12.0,12.0,True,,True,12.0,12.0,True,,True,10.0,10.0,True,,True,7.0,7.0,True,,True,6.0,6.0,True,
DB3_B,101_5.tif,True,,42.0,42.0,True,,True,42.0,42.0,True,,True,49.0,49.0,True,,True,32.0,32.0,True,,True,44.0,44.0,True,
DB4_B,101_4.tif,True,,50.0,50.0,True,,True,50.0,50.0,True,,True,50.0,50.0,True,,True,55.0,55.0,True,,True,54.0,54.0,True,
DB4_B,102_4.tif,True,,38.0,38.0,True,,True,38.0,38.0,True,,True,56.0,56.0,True,,True,56.0,56.0,True,,True,59.0,59.0,True,
DB4_B,104_4.tif,True,,45.0,45.0,True,,True,45.0,45.0,True,,True,47.0,47.0,True,,True,45.0,45.0,True,,True,48.0,48.0,True,
DB4_B,104_6.tif,True,,31.0,31.0,True,,True,31.0,31.0,True,,True,34.0,34.0,True,,True,37.0,37.0,True,,True,54.0,54.0,True,
