database,filename,stage,nfiq2,error,scored_path,height,width,dtype
DB1_B,101_1.tif,raw,65.0,,data\raw\DB1_B\101_1.tif,374,388,uint8
DB1_B,101_1.tif,step0,65.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_1.tif,stage1,55.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_1.tif,stage2,64.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_1.tif,stage3,56.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_2.tif,raw,43.0,,data\raw\DB1_B\101_2.tif,374,388,uint8
DB1_B,101_2.tif,step0,43.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_2.tif,stage1,46.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_2.tif,stage2,46.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_2.tif,stage3,53.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_3.tif,raw,58.0,,data\raw\DB1_B\101_3.tif,374,388,uint8
DB1_B,101_3.tif,step0,58.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_3.tif,stage1,58.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_3.tif,stage2,56.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_3.tif,stage3,55.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_4.tif,raw,30.0,,data\raw\DB1_B\101_4.tif,374,388,uint8
DB1_B,101_4.tif,step0,30.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_4.tif,stage1,38.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_4.tif,stage2,32.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_4.tif,stage3,44.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_5.tif,raw,25.0,,data\raw\DB1_B\101_5.tif,374,388,uint8
DB1_B,101_5.tif,step0,25.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_5.tif,stage1,34.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_5.tif,stage2,29.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_5.tif,stage3,31.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,101_6.tif,raw,86.0,,data\raw\DB1_B\101_6.tif,374,388,uint8
