database,filename,height,width,dtype,stage3_equals_enhance,validation_error,raw_nfiq2,raw_error,step0_nfiq2,step0_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,step0_minus_raw,stage1_minus_step0,stage1_minus_raw,stage2_minus_stage1,stage2_minus_raw,stage3_minus_stage2,stage3_minus_raw
DB1_B,102_6.tif,374,388,uint8,True,,87.0,,87.0,,88.0,,69.0,,59.0,,0.0,1.0,1.0,-19.0,-18.0,-10.0,-28.0
DB1_B,106_4.tif,374,388,uint8,True,,77.0,,77.0,,69.0,,65.0,,53.0,,0.0,-8.0,-8.0,-4.0,-12.0,-12.0,-24.0
DB1_B,104_7.tif,374,388,uint8,True,,76.0,,76.0,,75.0,,67.0,,56.0,,0.0,-1.0,-1.0,-8.0,-9.0,-11.0,-20.0
DB4_B,108_2.tif,384,288,uint8,True,,23.0,,23.0,,5.0,,4.0,,3.0,,0.0,-18.0,-18.0,-1.0,-19.0,-1.0,-20.0
DB2_B,104_7.tif,560,296,uint8,True,,69.0,,69.0,,54.0,,58.0,,51.0,,0.0,-15.0,-15.0,4.0,-11.0,-7.0,-18.0
DB1_B,105_3.tif,374,388,uint8,True,,77.0,,77.0,,73.0,,69.0,,60.0,,0.0,-4.0,-4.0,-4.0,-8.0,-9.0,-17.0
DB2_B,104_3.tif,560,296,uint8,True,,82.0,,82.0,,68.0,,66.0,,66.0,,0.0,-14.0,-14.0,-2.0,-16.0,0.0,-16.0
DB1_B,107_7.tif,374,388,uint8,True,,76.0,,76.0,,69.0,,79.0,,61.0,,0.0,-7.0,-7.0,10.0,3.0,-18.0,-15.0
DB1_B,101_7.tif,374,388,uint8,True,,65.0,,65.0,,54.0,,62.0,,51.0,,0.0,-11.0,-11.0,8.0,-3.0,-11.0,-14.0
DB3_B,108_1.tif,300,300,uint8,True,,33.0,,33.0,,15.0,,12.0,,19.0,,0.0,-18.0,-18.0,-3.0,-21.0,7.0,-14.0
