db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
DB1_B,101_1.tif,65.0,,54.0,,64.0,,64.0,,-11.0,10.0,0.0,-1.0
DB1_B,101_2.tif,43.0,,51.0,,49.0,,53.0,,8.0,-2.0,4.0,10.0
DB1_B,101_3.tif,58.0,,62.0,,52.0,,53.0,,4.0,-10.0,1.0,-5.0
DB1_B,101_4.tif,30.0,,31.0,,46.0,,45.0,,1.0,15.0,-1.0,15.0
DB1_B,101_5.tif,25.0,,24.0,,43.0,,36.0,,-1.0,19.0,-7.0,11.0
DB1_B,101_6.tif,86.0,,63.0,,62.0,,55.0,,-23.0,-1.0,-7.0,-31.0
DB1_B,101_7.tif,65.0,,60.0,,60.0,,63.0,,-5.0,0.0,3.0,-2.0
DB1_B,101_8.tif,38.0,,38.0,,38.0,,40.0,,0.0,0.0,2.0,2.0
DB1_B,102_1.tif,66.0,,74.0,,66.0,,65.0,,8.0,-8.0,-1.0,-1.0
DB1_B,102_2.tif,69.0,,58.0,,52.0,,53.0,,-11.0,-6.0,1.0,-16.0
DB1_B,102_3.tif,53.0,,50.0,,56.0,,53.0,,-3.0,6.0,-3.0,0.0
DB1_B,102_4.tif,84.0,,82.0,,73.0,,65.0,,-2.0,-9.0,-8.0,-19.0
DB1_B,102_5.tif,49.0,,49.0,,48.0,,47.0,,0.0,-1.0,-1.0,-2.0
DB1_B,102_6.tif,87.0,,90.0,,58.0,,54.0,,3.0,-32.0,-4.0,-33.0
DB1_B,102_7.tif,31.0,,38.0,,42.0,,45.0,,7.0,4.0,3.0,14.0
DB1_B,102_8.tif,47.0,,40.0,,42.0,,43.0,,-7.0,2.0,1.0,-4.0
DB1_B,103_1.tif,62.0,,70.0,,64.0,,67.0,,8.0,-6.0,3.0,5.0
DB1_B,103_2.tif,67.0,,62.0,,59.0,,62.0,,-5.0,-3.0,3.0,-5.0
DB1_B,103_3.tif,70.0,,72.0,,64.0,,58.0,,2.0,-8.0,-6.0,-12.0
DB1_B,103_4.tif,31.0,,35.0,,40.0,,39.0,,4.0,5.0,-1.0,8.0
DB1_B,103_5.tif,67.0,,65.0,,60.0,,58.0,,-2.0,-5.0,-2.0,-9.0
DB1_B,103_6.tif,76.0,,73.0,,73.0,,67.0,,-3.0,0.0,-6.0,-9.0
DB1_B,103_7.tif,59.0,,63.0,,67.0,,62.0,,4.0,4.0,-5.0,3.0
DB1_B,103_8.tif,42.0,,47.0,,52.0,,59.0,,5.0,5.0,7.0,17.0
DB1_B,104_1.tif,79.0,,85.0,,88.0,,71.0,,6.0,3.0,-17.0,-8.0
DB1_B,104_2.tif,74.0,,74.0,,78.0,,65.0,,0.0,4.0,-13.0,-9.0
DB1_B,104_3.tif,74.0,,82.0,,75.0,,62.0,,8.0,-7.0,-13.0,-12.0
DB1_B,104_4.tif,73.0,,82.0,,65.0,,66.0,,9.0,-17.0,1.0,-7.0
DB1_B,104_5.tif,66.0,,73.0,,76.0,,69.0,,7.0,3.0,-7.0,3.0
DB1_B,104_6.tif,63.0,,73.0,,71.0,,65.0,,10.0,-2.0,-6.0,2.0
DB1_B,104_7.tif,76.0,,66.0,,52.0,,50.0,,-10.0,-14.0,-2.0,-26.0
DB1_B,104_8.tif,69.0,,64.0,,80.0,,73.0,,-5.0,16.0,-7.0,4.0
DB1_B,105_1.tif,48.0,,51.0,,46.0,,47.0,,3.0,-5.0,1.0,-1.0
DB1_B,105_2.tif,80.0,,78.0,,71.0,,73.0,,-2.0,-7.0,2.0,-7.0
DB1_B,105_3.tif,77.0,,75.0,,70.0,,67.0,,-2.0,-5.0,-3.0,-10.0
DB1_B,105_4.tif,55.0,,57.0,,48.0,,54.0,,2.0,-9.0,6.0,-1.0
DB1_B,105_5.tif,64.0,,59.0,,56.0,,62.0,,-5.0,-3.0,6.0,-2.0
DB1_B,105_6.tif,50.0,,46.0,,48.0,,38.0,,-4.0,2.0,-10.0,-12.0
DB1_B,105_7.tif,73.0,,78.0,,64.0,,56.0,,5.0,-14.0,-8.0,-17.0
DB1_B,105_8.tif,64.0,,50.0,,58.0,,63.0,,-14.0,8.0,5.0,-1.0
DB1_B,106_1.tif,81.0,,80.0,,74.0,,56.0,,-1.0,-6.0,-18.0,-25.0
DB1_B,106_2.tif,73.0,,81.0,,63.0,,61.0,,8.0,-18.0,-2.0,-12.0
DB1_B,106_3.tif,79.0,,80.0,,63.0,,68.0,,1.0,-17.0,5.0,-11.0
DB1_B,106_4.tif,77.0,,77.0,,62.0,,56.0,,0.0,-15.0,-6.0,-21.0
DB1_B,106_5.tif,71.0,,75.0,,76.0,,61.0,,4.0,1.0,-15.0,-10.0
DB1_B,106_6.tif,72.0,,82.0,,70.0,,56.0,,10.0,-12.0,-14.0,-16.0
DB1_B,106_7.tif,76.0,,82.0,,76.0,,70.0,,6.0,-6.0,-6.0,-6.0
DB1_B,106_8.tif,71.0,,76.0,,58.0,,59.0,,5.0,-18.0,1.0,-12.0
DB1_B,107_1.tif,71.0,,75.0,,69.0,,63.0,,4.0,-6.0,-6.0,-8.0
DB1_B,107_2.tif,74.0,,74.0,,63.0,,60.0,,0.0,-11.0,-3.0,-14.0
DB1_B,107_3.tif,54.0,,73.0,,72.0,,60.0,,19.0,-1.0,-12.0,6.0
DB1_B,107_4.tif,73.0,,72.0,,69.0,,75.0,,-1.0,-3.0,6.0,2.0
DB1_B,107_5.tif,60.0,,60.0,,57.0,,57.0,,0.0,-3.0,0.0,-3.0
DB1_B,107_6.tif,73.0,,87.0,,68.0,,66.0,,14.0,-19.0,-2.0,-7.0
DB1_B,107_7.tif,76.0,,80.0,,70.0,,60.0,,4.0,-10.0,-10.0,-16.0
DB1_B,107_8.tif,51.0,,43.0,,31.0,,40.0,,-8.0,-12.0,9.0,-11.0
DB1_B,108_1.tif,71.0,,71.0,,78.0,,75.0,,0.0,7.0,-3.0,4.0
DB1_B,108_2.tif,79.0,,80.0,,85.0,,74.0,,1.0,5.0,-11.0,-5.0
DB1_B,108_3.tif,82.0,,68.0,,70.0,,66.0,,-14.0,2.0,-4.0,-16.0
DB1_B,108_4.tif,75.0,,85.0,,86.0,,83.0,,10.0,1.0,-3.0,8.0
DB1_B,108_5.tif,44.0,,71.0,,69.0,,66.0,,27.0,-2.0,-3.0,22.0
DB1_B,108_6.tif,78.0,,83.0,,81.0,,82.0,,5.0,-2.0,1.0,4.0
DB1_B,108_7.tif,68.0,,73.0,,85.0,,81.0,,5.0,12.0,-4.0,13.0
DB1_B,108_8.tif,79.0,,83.0,,85.0,,75.0,,4.0,2.0,-10.0,-4.0
DB1_B,109_1.tif,42.0,,40.0,,44.0,,39.0,,-2.0,4.0,-5.0,-3.0
DB1_B,109_2.tif,67.0,,62.0,,48.0,,56.0,,-5.0,-14.0,8.0,-11.0
DB1_B,109_3.tif,37.0,,44.0,,38.0,,44.0,,7.0,-6.0,6.0,7.0
DB1_B,109_4.tif,27.0,,40.0,,36.0,,36.0,,13.0,-4.0,0.0,9.0
DB1_B,109_5.tif,57.0,,63.0,,58.0,,47.0,,6.0,-5.0,-11.0,-10.0
DB1_B,109_6.tif,15.0,,15.0,,19.0,,24.0,,0.0,4.0,5.0,9.0
DB1_B,109_7.tif,65.0,,65.0,,66.0,,67.0,,0.0,1.0,1.0,2.0
DB1_B,109_8.tif,33.0,,36.0,,33.0,,38.0,,3.0,-3.0,5.0,5.0
DB1_B,110_1.tif,49.0,,52.0,,49.0,,49.0,,3.0,-3.0,0.0,0.0
DB1_B,110_2.tif,53.0,,59.0,,56.0,,62.0,,6.0,-3.0,6.0,9.0
DB1_B,110_3.tif,53.0,,65.0,,72.0,,68.0,,12.0,7.0,-4.0,15.0
DB1_B,110_4.tif,51.0,,62.0,,75.0,,72.0,,11.0,13.0,-3.0,21.0
DB1_B,110_5.tif,55.0,,55.0,,72.0,,61.0,,0.0,17.0,-11.0,6.0
