variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
minus_p1,DB1_B,101_1.tif,65.0,,56.0,,-9.0
minus_p2,DB1_B,101_1.tif,65.0,,56.0,,-9.0
minus_p6,DB1_B,101_1.tif,65.0,,58.0,,-7.0
minus_p1,DB1_B,101_2.tif,43.0,,51.0,,8.0
minus_p2,DB1_B,101_2.tif,43.0,,58.0,,15.0
minus_p6,DB1_B,101_2.tif,43.0,,50.0,,7.0
minus_p1,DB1_B,101_3.tif,58.0,,52.0,,-6.0
minus_p2,DB1_B,101_3.tif,58.0,,50.0,,-8.0
minus_p6,DB1_B,101_3.tif,58.0,,45.0,,-13.0
minus_p1,DB1_B,101_4.tif,30.0,,40.0,,10.0
minus_p2,DB1_B,101_4.tif,30.0,,31.0,,1.0
minus_p6,DB1_B,101_4.tif,30.0,,38.0,,8.0
minus_p1,DB1_B,101_5.tif,25.0,,48.0,,23.0
minus_p2,DB1_B,101_5.tif,25.0,,33.0,,8.0
minus_p6,DB1_B,101_5.tif,25.0,,28.0,,3.0
minus_p1,DB1_B,101_6.tif,86.0,,71.0,,-15.0
minus_p2,DB1_B,101_6.tif,86.0,,59.0,,-27.0
minus_p6,DB1_B,101_6.tif,86.0,,60.0,,-26.0
minus_p1,DB1_B,101_7.tif,65.0,,52.0,,-13.0
minus_p2,DB1_B,101_7.tif,65.0,,62.0,,-3.0
minus_p6,DB1_B,101_7.tif,65.0,,49.0,,-16.0
minus_p1,DB1_B,101_8.tif,38.0,,41.0,,3.0
minus_p2,DB1_B,101_8.tif,38.0,,48.0,,10.0
minus_p6,DB1_B,101_8.tif,38.0,,54.0,,16.0
minus_p1,DB1_B,102_1.tif,66.0,,61.0,,-5.0
minus_p2,DB1_B,102_1.tif,66.0,,62.0,,-4.0
minus_p6,DB1_B,102_1.tif,66.0,,64.0,,-2.0
minus_p1,DB1_B,102_2.tif,69.0,,51.0,,-18.0
minus_p2,DB1_B,102_2.tif,69.0,,64.0,,-5.0
