variant,db,n,final_mean,delta_final_mean
minus_p1,DB1_B,80,58.0125,-4.025
minus_p1,DB2_B,79,55.151898734177216,4.177215189873418
minus_p1,DB3_B,41,47.707317073170735,15.878048780487806
minus_p1,DB4_B,68,40.220588235294116,9.941176470588236
minus_p1,OVERALL,268,51.07835820895522,4.981343283582089
minus_p2,DB1_B,80,58.2,-3.8375
minus_p2,DB2_B,80,61.5875,11.1375
minus_p2,DB3_B,79,37.46835443037975,12.822784810126583
minus_p2,DB4_B,80,42.15,13.3875
minus_p2,OVERALL,319,49.89028213166144,8.363636363636363
minus_p6,DB1_B,80,55.075,-6.9625
minus_p6,DB2_B,80,60.95,10.5
minus_p6,DB3_B,79,45.164556962025316,20.518987341772153
minus_p6,DB4_B,80,45.7375,16.975
minus_p6,OVERALL,319,51.75235109717868,10.225705329153605
full,DB1_B,80,54.8375,-7.2
full,DB2_B,80,59.825,9.375
full,DB3_B,79,47.64556962025316,23.0
full,DB4_B,80,45.45,16.6875
full,OVERALL,319,51.95297805642633,10.426332288401253
