variant,db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
v2a,DB1_B,101_1.tif,65.0,,50.0,,58.0,,53.0,,-15.0,8.0,-5.0,-12.0
v2b,DB1_B,101_1.tif,65.0,,54.0,,57.0,,63.0,,-11.0,3.0,6.0,-2.0
v2a,DB1_B,101_2.tif,43.0,,47.0,,50.0,,56.0,,4.0,3.0,6.0,13.0
v2b,DB1_B,101_2.tif,43.0,,51.0,,46.0,,47.0,,8.0,-5.0,1.0,4.0
v2a,DB1_B,101_3.tif,58.0,,54.0,,45.0,,53.0,,-4.0,-9.0,8.0,-5.0
v2b,DB1_B,101_3.tif,58.0,,62.0,,61.0,,57.0,,4.0,-1.0,-4.0,-1.0
v2a,DB1_B,101_4.tif,30.0,,28.0,,38.0,,45.0,,-2.0,10.0,7.0,15.0
v2b,DB1_B,101_4.tif,30.0,,31.0,,33.0,,33.0,,1.0,2.0,0.0,3.0
v2a,DB1_B,101_5.tif,25.0,,27.0,,28.0,,33.0,,2.0,1.0,5.0,8.0
v2b,DB1_B,101_5.tif,25.0,,24.0,,28.0,,28.0,,-1.0,4.0,0.0,3.0
v2a,DB1_B,101_6.tif,86.0,,59.0,,60.0,,59.0,,-27.0,1.0,-1.0,-27.0
v2b,DB1_B,101_6.tif,86.0,,63.0,,63.0,,64.0,,-23.0,0.0,1.0,-22.0
v2a,DB1_B,101_7.tif,65.0,,62.0,,49.0,,55.0,,-3.0,-13.0,6.0,-10.0
v2b,DB1_B,101_7.tif,65.0,,60.0,,65.0,,64.0,,-5.0,5.0,-1.0,-1.0
v2a,DB1_B,101_8.tif,38.0,,44.0,,54.0,,42.0,,6.0,10.0,-12.0,4.0
v2b,DB1_B,101_8.tif,38.0,,38.0,,38.0,,43.0,,0.0,0.0,5.0,5.0
v2a,DB1_B,102_1.tif,66.0,,74.0,,64.0,,54.0,,8.0,-10.0,-10.0,-12.0
v2b,DB1_B,102_1.tif,66.0,,74.0,,72.0,,69.0,,8.0,-2.0,-3.0,3.0
v2a,DB1_B,102_2.tif,69.0,,72.0,,62.0,,58.0,,3.0,-10.0,-4.0,-11.0
v2b,DB1_B,102_2.tif,69.0,,58.0,,54.0,,58.0,,-11.0,-4.0,4.0,-11.0
v2a,DB1_B,102_3.tif,53.0,,63.0,,47.0,,54.0,,10.0,-16.0,7.0,1.0
v2b,DB1_B,102_3.tif,53.0,,50.0,,50.0,,52.0,,-3.0,0.0,2.0,-1.0
v2a,DB1_B,102_4.tif,84.0,,64.0,,66.0,,54.0,,-20.0,2.0,-12.0,-30.0
v2b,DB1_B,102_4.tif,84.0,,82.0,,83.0,,68.0,,-2.0,1.0,-15.0,-16.0
v2a,DB1_B,102_5.tif,49.0,,44.0,,53.0,,56.0,,-5.0,9.0,3.0,7.0
v2b,DB1_B,102_5.tif,49.0,,49.0,,50.0,,38.0,,0.0,1.0,-12.0,-11.0
v2a,DB1_B,102_6.tif,87.0,,61.0,,67.0,,50.0,,-26.0,6.0,-17.0,-37.0
v2b,DB1_B,102_6.tif,87.0,,90.0,,87.0,,67.0,,3.0,-3.0,-20.0,-20.0
v2a,DB1_B,102_7.tif,31.0,,23.0,,47.0,,43.0,,-8.0,24.0,-4.0,12.0
v2b,DB1_B,102_7.tif,31.0,,38.0,,39.0,,39.0,,7.0,1.0,0.0,8.0
v2a,DB1_B,102_8.tif,47.0,,35.0,,38.0,,45.0,,-12.0,3.0,7.0,-2.0
v2b,DB1_B,102_8.tif,47.0,,40.0,,48.0,,48.0,,-7.0,8.0,0.0,1.0
v2a,DB1_B,103_1.tif,62.0,,55.0,,49.0,,46.0,,-7.0,-6.0,-3.0,-16.0
v2b,DB1_B,103_1.tif,62.0,,70.0,,70.0,,68.0,,8.0,0.0,-2.0,6.0
v2a,DB1_B,103_2.tif,67.0,,53.0,,50.0,,44.0,,-14.0,-3.0,-6.0,-23.0
v2b,DB1_B,103_2.tif,67.0,,62.0,,62.0,,63.0,,-5.0,0.0,1.0,-4.0
v2a,DB1_B,103_3.tif,70.0,,51.0,,60.0,,54.0,,-19.0,9.0,-6.0,-16.0
v2b,DB1_B,103_3.tif,70.0,,72.0,,69.0,,67.0,,2.0,-3.0,-2.0,-3.0
v2a,DB1_B,103_4.tif,31.0,,33.0,,35.0,,37.0,,2.0,2.0,2.0,6.0
v2b,DB1_B,103_4.tif,31.0,,35.0,,36.0,,40.0,,4.0,1.0,4.0,9.0
v2a,DB1_B,103_5.tif,67.0,,62.0,,53.0,,52.0,,-5.0,-9.0,-1.0,-15.0
v2b,DB1_B,103_5.tif,67.0,,65.0,,65.0,,65.0,,-2.0,0.0,0.0,-2.0
v2a,DB1_B,103_6.tif,76.0,,60.0,,62.0,,60.0,,-16.0,2.0,-2.0,-16.0
v2b,DB1_B,103_6.tif,76.0,,73.0,,73.0,,63.0,,-3.0,0.0,-10.0,-13.0
v2a,DB1_B,103_7.tif,59.0,,49.0,,55.0,,53.0,,-10.0,6.0,-2.0,-6.0
v2b,DB1_B,103_7.tif,59.0,,63.0,,64.0,,71.0,,4.0,1.0,7.0,12.0
v2a,DB1_B,103_8.tif,42.0,,38.0,,50.0,,53.0,,-4.0,12.0,3.0,11.0
