variant,db,n,raw_mean,final_mean,delta_final_mean,improved,regressed,unchanged
v2a,DB1_B,80,62.0375,54.8375,-7.2,23,55,2
v2a,DB2_B,80,50.45,59.825,9.375,55,25,0
v2a,DB3_B,79,24.645569620253166,47.64556962025316,23.0,77,2,0
v2a,DB4_B,80,28.7625,45.45,16.6875,72,7,1
v2a,OVERALL,319,41.52664576802508,51.95297805642633,10.426332288401253,227,89,3
v2b,DB1_B,80,62.0375,63.525,1.4875,44,33,3
v2b,DB2_B,80,50.45,59.5125,9.0625,61,18,1
v2b,DB3_B,79,24.645569620253166,40.34177215189873,15.69620253164557,76,3,0
v2b,DB4_B,80,28.7625,39.2375,10.475,72,3,5
v2b,OVERALL,319,41.52664576802508,50.68652037617555,9.15987460815047,253,57,9
