variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
v2a_minus_p1,DB1_B,101_1.tif,65.0,,56.0,,-9.0
v2a_minus_p2,DB1_B,101_1.tif,65.0,,56.0,,-9.0
v2a_minus_p6,DB1_B,101_1.tif,65.0,,58.0,,-7.0
v2b_minus_p1,DB1_B,101_1.tif,65.0,,62.0,,-3.0
v2b_minus_p2,DB1_B,101_1.tif,65.0,,66.0,,1.0
v2b_minus_p6,DB1_B,101_1.tif,65.0,,57.0,,-8.0
v2a_minus_p1,DB1_B,101_2.tif,43.0,,51.0,,8.0
v2a_minus_p2,DB1_B,101_2.tif,43.0,,58.0,,15.0
v2a_minus_p6,DB1_B,101_2.tif,43.0,,50.0,,7.0
v2b_minus_p1,DB1_B,101_2.tif,43.0,,45.0,,2.0
v2b_minus_p2,DB1_B,101_2.tif,43.0,,46.0,,3.0
v2b_minus_p6,DB1_B,101_2.tif,43.0,,46.0,,3.0
v2a_minus_p1,DB1_B,101_3.tif,58.0,,52.0,,-6.0
v2a_minus_p2,DB1_B,101_3.tif,58.0,,50.0,,-8.0
v2a_minus_p6,DB1_B,101_3.tif,58.0,,45.0,,-13.0
v2b_minus_p1,DB1_B,101_3.tif,58.0,,56.0,,-2.0
v2b_minus_p2,DB1_B,101_3.tif,58.0,,56.0,,-2.0
v2b_minus_p6,DB1_B,101_3.tif,58.0,,61.0,,3.0
v2a_minus_p1,DB1_B,101_4.tif,30.0,,40.0,,10.0
v2a_minus_p2,DB1_B,101_4.tif,30.0,,31.0,,1.0
v2a_minus_p6,DB1_B,101_4.tif,30.0,,38.0,,8.0
v2b_minus_p1,DB1_B,101_4.tif,30.0,,32.0,,2.0
v2b_minus_p2,DB1_B,101_4.tif,30.0,,30.0,,0.0
v2b_minus_p6,DB1_B,101_4.tif,30.0,,33.0,,3.0
v2a_minus_p1,DB1_B,101_5.tif,25.0,,48.0,,23.0
v2a_minus_p2,DB1_B,101_5.tif,25.0,,33.0,,8.0
v2a_minus_p6,DB1_B,101_5.tif,25.0,,28.0,,3.0
v2b_minus_p1,DB1_B,101_5.tif,25.0,,27.0,,2.0
v2b_minus_p2,DB1_B,101_5.tif,25.0,,28.0,,3.0
v2b_minus_p6,DB1_B,101_5.tif,25.0,,28.0,,3.0
v2a_minus_p1,DB1_B,101_6.tif,86.0,,71.0,,-15.0
v2a_minus_p2,DB1_B,101_6.tif,86.0,,59.0,,-27.0
v2a_minus_p6,DB1_B,101_6.tif,86.0,,60.0,,-26.0
v2b_minus_p1,DB1_B,101_6.tif,86.0,,69.0,,-17.0
v2b_minus_p2,DB1_B,101_6.tif,86.0,,61.0,,-25.0
v2b_minus_p6,DB1_B,101_6.tif,86.0,,63.0,,-23.0
v2a_minus_p1,DB1_B,101_7.tif,65.0,,52.0,,-13.0
v2a_minus_p2,DB1_B,101_7.tif,65.0,,62.0,,-3.0
v2a_minus_p6,DB1_B,101_7.tif,65.0,,49.0,,-16.0
v2b_minus_p1,DB1_B,101_7.tif,65.0,,57.0,,-8.0
v2b_minus_p2,DB1_B,101_7.tif,65.0,,61.0,,-4.0
