variant,db,n,final_mean,delta_final_mean
v2a_minus_p1,DB1_B,80,58.0125,-4.025
v2a_minus_p1,DB2_B,79,55.151898734177216,4.177215189873418
v2a_minus_p1,DB3_B,41,47.707317073170735,15.878048780487806
v2a_minus_p1,DB4_B,68,40.220588235294116,9.941176470588236
v2a_minus_p1,OVERALL,268,51.07835820895522,4.981343283582089
v2a_minus_p2,DB1_B,80,58.2,-3.8375
v2a_minus_p2,DB2_B,80,61.5875,11.1375
v2a_minus_p2,DB3_B,79,37.46835443037975,12.822784810126583
v2a_minus_p2,DB4_B,80,42.15,13.3875
v2a_minus_p2,OVERALL,319,49.89028213166144,8.363636363636363
v2a_minus_p6,DB1_B,80,55.075,-6.9625
v2a_minus_p6,DB2_B,80,60.95,10.5
v2a_minus_p6,DB3_B,79,45.164556962025316,20.518987341772153
v2a_minus_p6,DB4_B,80,45.7375,16.975
v2a_minus_p6,OVERALL,319,51.75235109717868,10.225705329153605
v2b_minus_p1,DB1_B,80,62.9,0.8625
v2b_minus_p1,DB2_B,80,55.9125,5.4625
v2b_minus_p1,DB3_B,79,35.063291139240505,10.417721518987342
v2b_minus_p1,DB4_B,80,34.3,5.5375
v2b_minus_p1,OVERALL,319,47.08150470219436,5.554858934169279
v2b_minus_p2,DB1_B,80,62.8,0.7625
v2b_minus_p2,DB2_B,80,59.5125,9.0625
v2b_minus_p2,DB3_B,79,39.29113924050633,14.645569620253164
v2b_minus_p2,DB4_B,80,39.1125,10.35
v2b_minus_p2,OVERALL,319,50.21316614420063,8.68652037617555
v2b_minus_p6,DB1_B,80,64.3875,2.35
v2b_minus_p6,DB2_B,80,56.875,6.425
v2b_minus_p6,DB3_B,79,33.49367088607595,8.848101265822784
v2b_minus_p6,DB4_B,80,33.6875,4.925
v2b_minus_p6,OVERALL,319,47.15360501567398,5.6269592476489025
v2a,DB1_B,80,54.8375,-7.2
v2a,DB2_B,80,59.825,9.375
v2a,DB3_B,79,47.64556962025316,23.0
v2a,DB4_B,80,45.45,16.6875
v2a,OVERALL,319,51.95297805642633,10.426332288401253
v2b,DB1_B,80,63.525,1.4875
v2b,DB2_B,80,59.5125,9.0625
v2b,DB3_B,79,40.34177215189873,15.69620253164557
v2b,DB4_B,80,39.2375,10.475
v2b,OVERALL,319,50.68652037617555,9.15987460815047
