database,filename,relative_path,raw_nfiq2,stage1_p1_nfiq2,stage2_p1_p2_nfiq2,stage3_p1_p2_p6_nfiq2,delta_p1,delta_p2,delta_p6,delta_final,processing_status,error,raw_error,stage1_error,stage2_error,stage3_error,stage3_equals_enhance,shape,dtype,processing_seconds,scoring_seconds,total_seconds
DB1_B,101_1.tif,data/raw/DB1_B/101_1.tif,65.0,54.0,57.0,56.0,-11.0,3.0,-1.0,-9.0,success,,,,,,True,374x388,uint8,0.07753510000475217,1.6546614000035333,1.7330579999979818
DB1_B,101_2.tif,data/raw/DB1_B/101_2.tif,43.0,51.0,46.0,50.0,8.0,-5.0,4.0,7.0,success,,,,,,True,374x388,uint8,0.07857469999726163,1.695722600001318,1.775050199998077
DB1_B,101_3.tif,data/raw/DB1_B/101_3.tif,58.0,62.0,61.0,54.0,4.0,-1.0,-7.0,-4.0,success,,,,,,True,374x388,uint8,0.10710000000108266,1.7834540000039851,1.891858000002685
DB1_B,101_4.tif,data/raw/DB1_B/101_4.tif,30.0,31.0,33.0,36.0,1.0,2.0,3.0,6.0,success,,,,,,True,374x388,uint8,0.09833149999758461,1.6618568999983836,1.7611555000039516
DB1_B,101_5.tif,data/raw/DB1_B/101_5.tif,25.0,24.0,28.0,28.0,-1.0,4.0,0.0,3.0,success,,,,,,True,374x388,uint8,0.10525110000162385,1.6921063999980106,1.7984593000001041
DB1_B,101_6.tif,data/raw/DB1_B/101_6.tif,86.0,63.0,63.0,66.0,-23.0,0.0,3.0,-20.0,success,,,,,,True,374x388,uint8,0.09978359999513486,1.6721365000048536,1.7732671999983722
DB1_B,101_7.tif,data/raw/DB1_B/101_7.tif,65.0,60.0,65.0,64.0,-5.0,5.0,-1.0,-1.0,success,,,,,,True,374x388,uint8,0.08732210000016494,1.5916204000022844,1.6798456000033184
DB1_B,101_8.tif,data/raw/DB1_B/101_8.tif,38.0,38.0,38.0,39.0,0.0,0.0,1.0,1.0,success,,,,,,True,374x388,uint8,0.08652379999693949,1.6125859999956447,1.7002035999976215
DB1_B,102_1.tif,data/raw/DB1_B/102_1.tif,66.0,74.0,72.0,68.0,8.0,-2.0,-4.0,2.0,success,,,,,,True,374x388,uint8,0.10613829999783775,1.671272300001874,1.7784547999981442
DB1_B,102_2.tif,data/raw/DB1_B/102_2.tif,69.0,58.0,54.0,62.0,-11.0,-4.0,8.0,-7.0,success,,,,,,True,374x388,uint8,0.10302609999780543,1.6332512999942992,1.7370149999987916
DB1_B,102_3.tif,data/raw/DB1_B/102_3.tif,53.0,50.0,50.0,55.0,-3.0,0.0,5.0,2.0,success,,,,,,True,374x388,uint8,0.09633999999641674,1.5956290999965859,1.6930826000025263
DB1_B,102_4.tif,data/raw/DB1_B/102_4.tif,84.0,82.0,83.0,79.0,-2.0,1.0,-4.0,-5.0,success,,,,,,True,374x388,uint8,0.08735619999788469,1.6574610000025132,1.7457276999994065
DB1_B,102_5.tif,data/raw/DB1_B/102_5.tif,49.0,49.0,50.0,50.0,0.0,1.0,0.0,1.0,success,,,,,,True,374x388,uint8,0.08627150000393158,1.5530464000039501,1.640374200003862
DB1_B,102_6.tif,data/raw/DB1_B/102_6.tif,87.0,90.0,87.0,73.0,3.0,-3.0,-14.0,-14.0,success,,,,,,True,374x388,uint8,0.09068249999836553,1.6262193000002299,1.7178622999999789
DB1_B,102_7.tif,data/raw/DB1_B/102_7.tif,31.0,38.0,39.0,37.0,7.0,1.0,-2.0,6.0,success,,,,,,True,374x388,uint8,0.08555460000206949,1.556276600000274,1.6432207000034396
DB1_B,102_8.tif,data/raw/DB1_B/102_8.tif,47.0,40.0,48.0,46.0,-7.0,8.0,-2.0,-1.0,success,,,,,,True,374x388,uint8,0.08445400000346126,1.5581748000040534,1.643504400002712
DB1_B,103_1.tif,data/raw/DB1_B/103_1.tif,62.0,70.0,70.0,71.0,8.0,0.0,1.0,9.0,success,,,,,,True,374x388,uint8,0.08622730000206502,1.5710531000004266,1.658230299995921
DB1_B,103_2.tif,data/raw/DB1_B/103_2.tif,67.0,62.0,62.0,61.0,-5.0,0.0,-1.0,-6.0,success,,,,,,True,374x388,uint8,0.10297549999813782,1.564684999997553,1.6691974999994272
