scope,metric,n,mean,median,minimum,maximum,improved,regressed,unchanged
DB1_B,raw_nfiq2,80,62.0375,66.0,15.0,87.0,80,0,0
DB1_B,stage1_p1_nfiq2,80,63.875,65.0,15.0,90.0,80,0,0
DB1_B,stage2_p1_p2_nfiq2,80,64.3875,66.5,16.0,92.0,80,0,0
DB1_B,stage3_p1_p2_p6_nfiq2,80,63.85,66.5,13.0,89.0,80,0,0
DB1_B,delta_p1,80,1.8375,2.0,-23.0,27.0,44,26,10
DB1_B,delta_p2,80,0.5125,0.0,-5.0,11.0,37,25,18
DB1_B,delta_p6,80,-0.5375,0.0,-14.0,10.0,33,36,11
DB1_B,delta_final,80,1.8125,1.5,-20.0,22.0,46,31,3
DB2_B,raw_nfiq2,80,50.45,54.5,9.0,82.0,80,0,0
DB2_B,stage1_p1_nfiq2,80,56.9,59.0,7.0,80.0,80,0,0
DB2_B,stage2_p1_p2_nfiq2,80,56.875,59.0,7.0,80.0,80,0,0
DB2_B,stage3_p1_p2_p6_nfiq2,80,57.8375,60.0,9.0,78.0,80,0,0
DB2_B,delta_p1,80,6.45,7.5,-18.0,25.0,57,18,5
DB2_B,delta_p2,80,-0.025,0.0,-4.0,3.0,3,4,73
DB2_B,delta_p6,80,0.9625,1.0,-13.0,9.0,44,31,5
DB2_B,delta_final,80,7.3875,7.0,-14.0,30.0,61,17,2
DB3_B,raw_nfiq2,79,24.645569620253166,22.0,5.0,52.0,79,0,0
DB3_B,stage1_p1_nfiq2,80,30.8375,31.5,6.0,65.0,80,0,0
DB3_B,stage2_p1_p2_nfiq2,80,33.3,35.0,4.0,60.0,80,0,0
DB3_B,stage3_p1_p2_p6_nfiq2,80,35.8,36.5,6.0,69.0,80,0,0
DB3_B,delta_p1,79,6.405063291139241,6.0,-8.0,23.0,61,14,4
DB3_B,delta_p2,80,2.4625,2.0,-13.0,16.0,51,25,4
DB3_B,delta_p6,80,2.5,2.0,-14.0,16.0,53,25,2
DB3_B,delta_final,79,11.417721518987342,12.0,-8.0,35.0,69,9,1
DB4_B,raw_nfiq2,80,28.7625,29.5,3.0,51.0,80,0,0
DB4_B,stage1_p1_nfiq2,80,33.8125,37.0,2.0,55.0,80,0,0
DB4_B,stage2_p1_p2_nfiq2,80,33.6875,36.5,1.0,58.0,80,0,0
DB4_B,stage3_p1_p2_p6_nfiq2,80,34.9,38.0,2.0,64.0,80,0,0
DB4_B,delta_p1,80,5.05,5.0,-12.0,20.0,56,21,3
DB4_B,delta_p2,80,-0.125,0.0,-9.0,5.0,33,34,13
DB4_B,delta_p6,80,1.2125,1.0,-10.0,14.0,45,29,6
DB4_B,delta_final,80,6.1375,6.0,-10.0,23.0,61,16,3
OVERALL,raw_nfiq2,319,41.52664576802508,38.0,3.0,87.0,319,0,0
OVERALL,stage1_p1_nfiq2,320,46.35625,44.0,2.0,90.0,320,0,0
OVERALL,stage2_p1_p2_nfiq2,320,47.0625,45.0,1.0,92.0,320,0,0
OVERALL,stage3_p1_p2_p6_nfiq2,320,48.096875,47.5,2.0,89.0,320,0,0
OVERALL,delta_p1,319,4.931034482758621,4.0,-23.0,27.0,218,79,22
OVERALL,delta_p2,320,0.70625,0.0,-13.0,16.0,124,88,108
OVERALL,delta_p6,320,1.034375,1.0,-14.0,16.0,175,121,24
OVERALL,delta_final,319,6.673981191222571,6.0,-20.0,35.0,237,73,9
