database,filename,relative_path,raw_nfiq2,stage1_p1_nfiq2,stage2_p1_p2_nfiq2,stage3_p1_p2_p6_nfiq2,delta_p1,delta_p2,delta_p6,delta_final
DB1_B,101_6.tif,data/raw/DB1_B/101_6.tif,86.0,63.0,63.0,66.0,-23.0,0.0,3.0,-20.0
DB1_B,102_6.tif,data/raw/DB1_B/102_6.tif,87.0,90.0,87.0,73.0,3.0,-3.0,-14.0,-14.0
DB2_B,104_3.tif,data/raw/DB2_B/104_3.tif,82.0,72.0,72.0,68.0,-10.0,0.0,-4.0,-14.0
DB2_B,104_7.tif,data/raw/DB2_B/104_7.tif,69.0,55.0,55.0,56.0,-14.0,0.0,1.0,-13.0
DB2_B,105_2.tif,data/raw/DB2_B/105_2.tif,63.0,45.0,45.0,50.0,-18.0,0.0,5.0,-13.0
DB2_B,106_7.tif,data/raw/DB2_B/106_7.tif,59.0,47.0,47.0,49.0,-12.0,0.0,2.0,-10.0
DB4_B,101_5.tif,data/raw/DB4_B/101_5.tif,37.0,30.0,34.0,27.0,-7.0,4.0,-7.0,-10.0
DB1_B,101_1.tif,data/raw/DB1_B/101_1.tif,65.0,54.0,57.0,56.0,-11.0,3.0,-1.0,-9.0
DB1_B,105_8.tif,data/raw/DB1_B/105_8.tif,64.0,50.0,49.0,55.0,-14.0,-1.0,6.0,-9.0
DB1_B,107_8.tif,data/raw/DB1_B/107_8.tif,51.0,43.0,41.0,42.0,-8.0,-2.0,1.0,-9.0
DB1_B,108_3.tif,data/raw/DB1_B/108_3.tif,82.0,68.0,69.0,74.0,-14.0,1.0,5.0,-8.0
DB2_B,109_5.tif,data/raw/DB2_B/109_5.tif,52.0,41.0,41.0,44.0,-11.0,0.0,3.0,-8.0
DB3_B,110_7.tif,data/raw/DB3_B/110_7.tif,17.0,10.0,8.0,9.0,-7.0,-2.0,1.0,-8.0
DB4_B,102_8.tif,data/raw/DB4_B/102_8.tif,51.0,45.0,45.0,43.0,-6.0,0.0,-2.0,-8.0
DB4_B,104_3.tif,data/raw/DB4_B/104_3.tif,46.0,45.0,45.0,38.0,-1.0,0.0,-7.0,-8.0
DB4_B,107_5.tif,data/raw/DB4_B/107_5.tif,46.0,42.0,40.0,38.0,-4.0,-2.0,-2.0,-8.0
DB1_B,102_2.tif,data/raw/DB1_B/102_2.tif,69.0,58.0,54.0,62.0,-11.0,-4.0,8.0,-7.0
DB1_B,104_7.tif,data/raw/DB1_B/104_7.tif,76.0,66.0,68.0,69.0,-10.0,2.0,1.0,-7.0
DB1_B,105_6.tif,data/raw/DB1_B/105_6.tif,50.0,46.0,47.0,43.0,-4.0,1.0,-4.0,-7.0
DB1_B,106_1.tif,data/raw/DB1_B/106_1.tif,81.0,80.0,80.0,74.0,-1.0,0.0,-6.0,-7.0
DB1_B,103_2.tif,data/raw/DB1_B/103_2.tif,67.0,62.0,62.0,61.0,-5.0,0.0,-1.0,-6.0
DB2_B,101_6.tif,data/raw/DB2_B/101_6.tif,63.0,66.0,66.0,57.0,3.0,0.0,-9.0,-6.0
DB2_B,102_7.tif,data/raw/DB2_B/102_7.tif,78.0,68.0,68.0,72.0,-10.0,0.0,4.0,-6.0
DB2_B,108_7.tif,data/raw/DB2_B/108_7.tif,68.0,67.0,67.0,62.0,-1.0,0.0,-5.0,-6.0
DB1_B,102_4.tif,data/raw/DB1_B/102_4.tif,84.0,82.0,83.0,79.0,-2.0,1.0,-4.0,-5.0
DB1_B,104_3.tif,data/raw/DB1_B/104_3.tif,74.0,82.0,81.0,69.0,8.0,-1.0,-12.0,-5.0
DB1_B,105_1.tif,data/raw/DB1_B/105_1.tif,48.0,51.0,51.0,43.0,3.0,0.0,-8.0,-5.0
DB1_B,107_2.tif,data/raw/DB1_B/107_2.tif,74.0,74.0,74.0,69.0,0.0,0.0,-5.0,-5.0
DB1_B,109_2.tif,data/raw/DB1_B/109_2.tif,67.0,62.0,66.0,62.0,-5.0,4.0,-4.0,-5.0
DB3_B,110_2.tif,data/raw/DB3_B/110_2.tif,17.0,10.0,16.0,12.0,-7.0,6.0,-4.0,-5.0
DB4_B,103_7.tif,data/raw/DB4_B/103_7.tif,43.0,40.0,39.0,38.0,-3.0,-1.0,-1.0,-5.0
DB1_B,101_3.tif,data/raw/DB1_B/101_3.tif,58.0,62.0,61.0,54.0,4.0,-1.0,-7.0,-4.0
DB1_B,110_8.tif,data/raw/DB1_B/110_8.tif,61.0,59.0,57.0,57.0,-2.0,-2.0,0.0,-4.0
DB2_B,101_5.tif,data/raw/DB2_B/101_5.tif,75.0,74.0,74.0,71.0,-1.0,0.0,-3.0,-4.0
DB2_B,108_6.tif,data/raw/DB2_B/108_6.tif,58.0,67.0,67.0,54.0,9.0,0.0,-13.0,-4.0
DB3_B,110_3.tif,data/raw/DB3_B/110_3.tif,11.0,9.0,9.0,7.0,-2.0,0.0,-2.0,-4.0
DB4_B,104_5.tif,data/raw/DB4_B/104_5.tif,46.0,39.0,37.0,42.0,-7.0,-2.0,5.0,-4.0
DB1_B,103_5.tif,data/raw/DB1_B/103_5.tif,67.0,65.0,65.0,64.0,-2.0,0.0,-1.0,-3.0
DB1_B,105_2.tif,data/raw/DB1_B/105_2.tif,80.0,78.0,78.0,77.0,-2.0,0.0,-1.0,-3.0
DB2_B,104_4.tif,data/raw/DB2_B/104_4.tif,65.0,65.0,65.0,62.0,0.0,0.0,-3.0,-3.0
DB2_B,107_8.tif,data/raw/DB2_B/107_8.tif,66.0,65.0,65.0,63.0,-1.0,0.0,-2.0,-3.0
DB3_B,106_8.tif,data/raw/DB3_B/106_8.tif,9.0,6.0,4.0,6.0,-3.0,-2.0,2.0,-3.0
DB4_B,103_3.tif,data/raw/DB4_B/103_3.tif,46.0,44.0,42.0,43.0,-2.0,-2.0,1.0,-3.0
DB4_B,110_2.tif,data/raw/DB4_B/110_2.tif,12.0,10.0,10.0,9.0,-2.0,0.0,-1.0,-3.0
DB1_B,103_3.tif,data/raw/DB1_B/103_3.tif,70.0,72.0,69.0,68.0,2.0,-3.0,-1.0,-2.0
DB1_B,105_3.tif,data/raw/DB1_B/105_3.tif,77.0,75.0,76.0,75.0,-2.0,1.0,-1.0,-2.0
DB1_B,105_7.tif,data/raw/DB1_B/105_7.tif,73.0,78.0,73.0,71.0,5.0,-5.0,-2.0,-2.0
DB1_B,108_1.tif,data/raw/DB1_B/108_1.tif,71.0,71.0,75.0,69.0,0.0,4.0,-6.0,-2.0
DB1_B,109_6.tif,data/raw/DB1_B/109_6.tif,15.0,15.0,16.0,13.0,0.0,1.0,-3.0,-2.0
DB2_B,102_2.tif,data/raw/DB2_B/102_2.tif,63.0,63.0,63.0,61.0,0.0,0.0,-2.0,-2.0
DB2_B,104_8.tif,data/raw/DB2_B/104_8.tif,17.0,19.0,19.0,15.0,2.0,0.0,-4.0,-2.0
DB4_B,103_5.tif,data/raw/DB4_B/103_5.tif,44.0,42.0,38.0,42.0,-2.0,-4.0,4.0,-2.0
DB4_B,104_6.tif,data/raw/DB4_B/104_6.tif,31.0,32.0,31.0,29.0,1.0,-1.0,-2.0,-2.0
DB4_B,105_1.tif,data/raw/DB4_B/105_1.tif,19.0,15.0,17.0,17.0,-4.0,2.0,0.0,-2.0
DB4_B,108_3.tif,data/raw/DB4_B/108_3.tif,8.0,16.0,11.0,6.0,8.0,-5.0,-5.0,-2.0
DB4_B,108_8.tif,data/raw/DB4_B/108_8.tif,43.0,31.0,35.0,41.0,-12.0,4.0,6.0,-2.0
DB1_B,101_7.tif,data/raw/DB1_B/101_7.tif,65.0,60.0,65.0,64.0,-5.0,5.0,-1.0,-1.0
DB1_B,102_8.tif,data/raw/DB1_B/102_8.tif,47.0,40.0,48.0,46.0,-7.0,8.0,-2.0,-1.0
DB1_B,106_3.tif,data/raw/DB1_B/106_3.tif,79.0,80.0,75.0,78.0,1.0,-5.0,3.0,-1.0
DB1_B,106_4.tif,data/raw/DB1_B/106_4.tif,77.0,77.0,86.0,76.0,0.0,9.0,-10.0,-1.0
DB1_B,107_4.tif,data/raw/DB1_B/107_4.tif,73.0,72.0,72.0,72.0,-1.0,0.0,0.0,-1.0
DB1_B,109_1.tif,data/raw/DB1_B/109_1.tif,42.0,40.0,40.0,41.0,-2.0,0.0,1.0,-1.0
DB2_B,102_1.tif,data/raw/DB2_B/102_1.tif,68.0,73.0,73.0,67.0,5.0,0.0,-6.0,-1.0
DB2_B,102_5.tif,data/raw/DB2_B/102_5.tif,73.0,68.0,68.0,72.0,-5.0,0.0,4.0,-1.0
DB2_B,105_5.tif,data/raw/DB2_B/105_5.tif,31.0,29.0,29.0,30.0,-2.0,0.0,1.0,-1.0
DB3_B,103_5.tif,data/raw/DB3_B/103_5.tif,38.0,30.0,39.0,37.0,-8.0,9.0,-2.0,-1.0
DB3_B,105_8.tif,data/raw/DB3_B/105_8.tif,32.0,33.0,36.0,31.0,1.0,3.0,-5.0,-1.0
DB3_B,106_6.tif,data/raw/DB3_B/106_6.tif,22.0,24.0,24.0,21.0,2.0,0.0,-3.0,-1.0
DB3_B,108_6.tif,data/raw/DB3_B/108_6.tif,37.0,31.0,28.0,36.0,-6.0,-3.0,8.0,-1.0
DB3_B,110_6.tif,data/raw/DB3_B/110_6.tif,18.0,15.0,16.0,17.0,-3.0,1.0,1.0,-1.0
DB4_B,106_4.tif,data/raw/DB4_B/106_4.tif,37.0,35.0,38.0,36.0,-2.0,3.0,-2.0,-1.0
DB4_B,109_6.tif,data/raw/DB4_B/109_6.tif,9.0,6.0,6.0,8.0,-3.0,0.0,2.0,-1.0
DB4_B,110_4.tif,data/raw/DB4_B/110_4.tif,3.0,2.0,1.0,2.0,-1.0,-1.0,1.0,-1.0
