file,db,alpha,raw_nfiq2,stage1_contrast_nfiq2,stage2_noise_nfiq2,stage3_orientation_nfiq2
101_1.tif,DB1_B,0.0,65.0,50.0,58.0,46.0
101_2.tif,DB1_B,0.0,43.0,47.0,50.0,43.0
101_3.tif,DB1_B,0.0,58.0,54.0,45.0,56.0
101_4.tif,DB1_B,1.0,30.0,28.0,38.0,30.0
101_5.tif,DB1_B,1.0,25.0,27.0,28.0,33.0
101_6.tif,DB1_B,0.0,86.0,59.0,60.0,59.0
101_7.tif,DB1_B,0.0,65.0,62.0,49.0,61.0
101_8.tif,DB1_B,0.5077966941797011,38.0,44.0,54.0,50.0
102_1.tif,DB1_B,0.0,66.0,74.0,64.0,68.0
102_2.tif,DB1_B,0.0,69.0,72.0,62.0,71.0
102_3.tif,DB1_B,0.0,53.0,63.0,47.0,52.0
102_4.tif,DB1_B,0.0,84.0,64.0,66.0,60.0
102_5.tif,DB1_B,0.0,49.0,44.0,53.0,50.0
102_6.tif,DB1_B,0.0,87.0,61.0,67.0,56.0
102_7.tif,DB1_B,0.7366516507816054,31.0,23.0,47.0,49.0
102_8.tif,DB1_B,0.8547897102971248,47.0,35.0,38.0,44.0
103_1.tif,DB1_B,0.0,62.0,55.0,49.0,52.0
103_2.tif,DB1_B,0.0,67.0,53.0,50.0,53.0
103_3.tif,DB1_B,0.0,70.0,51.0,60.0,50.0
103_4.tif,DB1_B,0.10090941853040994,31.0,33.0,35.0,52.0
103_5.tif,DB1_B,0.0,67.0,62.0,53.0,51.0
103_6.tif,DB1_B,0.0,76.0,60.0,62.0,62.0
103_7.tif,DB1_B,0.13857659372284567,59.0,49.0,55.0,52.0
103_8.tif,DB1_B,0.8740539349548312,42.0,38.0,50.0,33.0
104_1.tif,DB1_B,0.0,79.0,70.0,65.0,74.0
104_2.tif,DB1_B,0.0,74.0,72.0,62.0,68.0
104_3.tif,DB1_B,0.0,74.0,57.0,55.0,61.0
104_4.tif,DB1_B,0.0,73.0,63.0,52.0,66.0
104_5.tif,DB1_B,0.0,66.0,71.0,54.0,56.0
104_6.tif,DB1_B,0.0,63.0,49.0,51.0,54.0
104_7.tif,DB1_B,0.0,76.0,73.0,61.0,61.0
104_8.tif,DB1_B,0.8004102400234098,69.0,56.0,56.0,62.0
105_1.tif,DB1_B,0.0,48.0,49.0,44.0,54.0
105_2.tif,DB1_B,0.042899552809966254,80.0,67.0,55.0,70.0
105_3.tif,DB1_B,0.23479016345896372,77.0,61.0,68.0,67.0
105_4.tif,DB1_B,0.0,55.0,62.0,56.0,58.0
