database,filename,relative_path,raw_nfiq2,stage1_p1_nfiq2,stage2_p1_p2_nfiq2,stage3_p1_p2_p6_nfiq2,delta_p1,delta_p2,delta_p6,delta_final,processing_status,error,raw_error,stage1_error,stage2_error,stage3_error,shape,dtype,stage_contracts_ok,processing_seconds,scoring_seconds,total_seconds
DB1_B,101_1.tif,data/raw/DB1_B/101_1.tif,65.0,67.0,68.0,65.0,2.0,1.0,-3.0,0.0,success,,,,,,374x388,uint8,True,0.9374429000308737,3.980624799965881,4.922074400004931
DB1_B,101_2.tif,data/raw/DB1_B/101_2.tif,43.0,45.0,46.0,43.0,2.0,1.0,-3.0,0.0,success,,,,,,374x388,uint8,True,0.8289728999952786,4.232474000018556,5.075692899990827
DB1_B,101_3.tif,data/raw/DB1_B/101_3.tif,58.0,54.0,53.0,54.0,-4.0,-1.0,1.0,-4.0,success,,,,,,374x388,uint8,True,1.0420144999516197,4.4144792999722995,5.478387900046073
DB1_B,101_4.tif,data/raw/DB1_B/101_4.tif,30.0,40.0,39.0,39.0,10.0,-1.0,0.0,9.0,success,,,,,,374x388,uint8,True,0.4713836999726482,3.9473609999986365,4.4375046999775805
DB1_B,101_5.tif,data/raw/DB1_B/101_5.tif,25.0,32.0,32.0,32.0,7.0,0.0,0.0,7.0,success,,,,,,374x388,uint8,True,0.34574589994736016,3.624434700002894,3.987968999950681
DB1_B,101_6.tif,data/raw/DB1_B/101_6.tif,86.0,69.0,70.0,67.0,-17.0,1.0,-3.0,-19.0,success,,,,,,374x388,uint8,True,0.8783761999802664,4.4692334000137635,5.362666100030765
DB1_B,101_7.tif,data/raw/DB1_B/101_7.tif,65.0,71.0,73.0,71.0,6.0,2.0,-2.0,6.0,success,,,,,,374x388,uint8,True,0.7469802999985404,4.447786300035659,5.214950900000986
DB1_B,101_8.tif,data/raw/DB1_B/101_8.tif,38.0,39.0,40.0,41.0,1.0,1.0,1.0,3.0,success,,,,,,374x388,uint8,True,0.5751420000451617,4.1169177000410855,4.709613199986052
DB1_B,102_1.tif,data/raw/DB1_B/102_1.tif,66.0,67.0,65.0,75.0,1.0,-2.0,10.0,9.0,success,,,,,,374x388,uint8,True,0.5762915999512188,4.056819399993401,4.644311900017783
DB1_B,102_2.tif,data/raw/DB1_B/102_2.tif,69.0,75.0,76.0,80.0,6.0,1.0,4.0,11.0,success,,,,,,374x388,uint8,True,1.0807119000237435,3.6393571000080556,4.74855670001125
DB1_B,102_3.tif,data/raw/DB1_B/102_3.tif,53.0,50.0,52.0,55.0,-3.0,2.0,3.0,2.0,success,,,,,,374x388,uint8,True,0.7093765000463463,4.024991400016006,4.75477979995776
DB1_B,102_4.tif,data/raw/DB1_B/102_4.tif,84.0,67.0,67.0,73.0,-17.0,0.0,6.0,-11.0,success,,,,,,374x388,uint8,True,0.7545114000095055,4.073625799966976,4.845162200042978
DB1_B,102_5.tif,data/raw/DB1_B/102_5.tif,49.0,49.0,49.0,52.0,0.0,0.0,3.0,3.0,success,,,,,,374x388,uint8,True,0.47168539999984205,4.244845799985342,4.72832809999818
DB1_B,102_6.tif,data/raw/DB1_B/102_6.tif,87.0,77.0,80.0,78.0,-10.0,3.0,-2.0,-9.0,success,,,,,,374x388,uint8,True,0.8677669999888167,4.503410499950405,5.391921000031289
DB1_B,102_7.tif,data/raw/DB1_B/102_7.tif,31.0,38.0,38.0,38.0,7.0,0.0,0.0,7.0,success,,,,,,374x388,uint8,True,0.5003271999885328,4.567657499981578,5.078198799979873
DB1_B,102_8.tif,data/raw/DB1_B/102_8.tif,47.0,41.0,34.0,35.0,-6.0,-7.0,1.0,-12.0,success,,,,,,374x388,uint8,True,0.560664499993436,4.527597000007518,5.100529799994547
DB1_B,103_1.tif,data/raw/DB1_B/103_1.tif,62.0,62.0,60.0,63.0,0.0,-2.0,3.0,1.0,success,,,,,,374x388,uint8,True,0.9143841000040993,4.396571499994025,5.338056200009305
DB1_B,103_2.tif,data/raw/DB1_B/103_2.tif,67.0,57.0,57.0,50.0,-10.0,0.0,-7.0,-17.0,success,,,,,,374x388,uint8,True,0.8207060000277124,4.3403529999777675,5.182516900007613
DB1_B,103_3.tif,data/raw/DB1_B/103_3.tif,70.0,63.0,73.0,71.0,-7.0,10.0,-2.0,1.0,success,,,,,,374x388,uint8,True,1.0811337999766693,4.80115419998765,5.895339799986687
DB1_B,103_4.tif,data/raw/DB1_B/103_4.tif,31.0,45.0,43.0,43.0,14.0,-2.0,0.0,12.0,success,,,,,,374x388,uint8,True,0.6730428999871947,4.078319100022782,4.773842800001148
DB1_B,103_5.tif,data/raw/DB1_B/103_5.tif,67.0,57.0,57.0,55.0,-10.0,0.0,-2.0,-12.0,success,,,,,,374x388,uint8,True,0.9997038999572396,4.362186299986206,5.378947600023821
DB1_B,103_6.tif,data/raw/DB1_B/103_6.tif,76.0,69.0,66.0,62.0,-7.0,-3.0,-4.0,-14.0,success,,,,,,374x388,uint8,True,0.7905443999916315,4.340495299955364,5.147045199992135
DB1_B,103_7.tif,data/raw/DB1_B/103_7.tif,59.0,63.0,66.0,67.0,4.0,3.0,1.0,8.0,success,,,,,,374x388,uint8,True,0.988120699999854,4.1191506999894045,5.120082499983255
DB1_B,103_8.tif,data/raw/DB1_B/103_8.tif,42.0,45.0,44.0,47.0,3.0,-1.0,3.0,5.0,success,,,,,,374x388,uint8,True,0.5854534000391141,4.049438699963503,4.6566120000206865
DB1_B,104_1.tif,data/raw/DB1_B/104_1.tif,79.0,62.0,62.0,64.0,-17.0,0.0,2.0,-15.0,success,,,,,,374x388,uint8,True,1.1926468000165187,4.420760099950712,5.6333297999808565
DB1_B,104_2.tif,data/raw/DB1_B/104_2.tif,74.0,81.0,81.0,76.0,7.0,0.0,-5.0,2.0,success,,,,,,374x388,uint8,True,0.9313565000193194,4.710221499961335,5.656743400031701
DB1_B,104_3.tif,data/raw/DB1_B/104_3.tif,74.0,75.0,74.0,77.0,1.0,-1.0,3.0,3.0,success,,,,,,374x388,uint8,True,1.07666220003739,3.9786670000175945,5.075889199972153
DB1_B,104_4.tif,data/raw/DB1_B/104_4.tif,73.0,72.0,72.0,75.0,-1.0,0.0,3.0,2.0,success,,,,,,374x388,uint8,True,0.8034998999792151,4.234472899988759,5.055479899980128
DB1_B,104_5.tif,data/raw/DB1_B/104_5.tif,66.0,64.0,62.0,75.0,-2.0,-2.0,13.0,9.0,success,,,,,,374x388,uint8,True,0.8354741000221111,4.20035729999654,5.046558400033973
DB1_B,104_6.tif,data/raw/DB1_B/104_6.tif,63.0,67.0,66.0,66.0,4.0,-1.0,0.0,3.0,success,,,,,,374x388,uint8,True,0.6463642999879085,4.123002199979965,4.780714099993929
DB1_B,104_7.tif,data/raw/DB1_B/104_7.tif,76.0,79.0,80.0,80.0,3.0,1.0,0.0,4.0,success,,,,,,374x388,uint8,True,0.6650064999703318,4.810293600021396,5.493584200041369
DB1_B,104_8.tif,data/raw/DB1_B/104_8.tif,69.0,63.0,65.0,66.0,-6.0,2.0,1.0,-3.0,success,,,,,,374x388,uint8,True,0.9505298999720253,4.882932299980894,5.863062500022352
DB1_B,105_1.tif,data/raw/DB1_B/105_1.tif,48.0,65.0,65.0,64.0,17.0,0.0,-1.0,16.0,success,,,,,,374x388,uint8,True,1.019848300027661,4.658294200024102,5.702159299980849
DB1_B,105_2.tif,data/raw/DB1_B/105_2.tif,80.0,72.0,71.0,71.0,-8.0,-1.0,0.0,-9.0,success,,,,,,374x388,uint8,True,0.9529112000018358,3.7393801999860443,4.711134700046387
DB1_B,105_3.tif,data/raw/DB1_B/105_3.tif,77.0,73.0,76.0,72.0,-4.0,3.0,-4.0,-5.0,success,,,,,,374x388,uint8,True,0.6611403000424616,3.917652399977669,4.60230580001371
DB1_B,105_4.tif,data/raw/DB1_B/105_4.tif,55.0,61.0,60.0,65.0,6.0,-1.0,5.0,10.0,success,,,,,,374x388,uint8,True,0.5513638000120409,4.058911199972499,4.636584600026254
DB1_B,105_5.tif,data/raw/DB1_B/105_5.tif,64.0,69.0,70.0,70.0,5.0,1.0,0.0,6.0,success,,,,,,374x388,uint8,True,0.6462902000057511,4.128937900008168,4.790341600019019
DB1_B,105_6.tif,data/raw/DB1_B/105_6.tif,50.0,49.0,50.0,45.0,-1.0,1.0,-5.0,-5.0,success,,,,,,374x388,uint8,True,0.6608500000438653,4.103558800008614,4.7906882999814115
DB1_B,105_7.tif,data/raw/DB1_B/105_7.tif,73.0,68.0,67.0,69.0,-5.0,-1.0,2.0,-4.0,success,,,,,,374x388,uint8,True,0.8520876000402495,3.9559797000256367,4.834639399952721
DB1_B,105_8.tif,data/raw/DB1_B/105_8.tif,64.0,54.0,49.0,51.0,-10.0,-5.0,2.0,-13.0,success,,,,,,374x388,uint8,True,0.5238394999760203,3.636202299967408,4.179380899993703
DB1_B,106_1.tif,data/raw/DB1_B/106_1.tif,81.0,71.0,72.0,72.0,-10.0,1.0,0.0,-9.0,success,,,,,,374x388,uint8,True,0.9052315999870189,4.34990240004845,5.266292899963446
DB1_B,106_2.tif,data/raw/DB1_B/106_2.tif,73.0,71.0,72.0,73.0,-2.0,1.0,1.0,0.0,success,,,,,,374x388,uint8,True,1.522292000008747,4.01730150001822,5.558412600017618
DB1_B,106_3.tif,data/raw/DB1_B/106_3.tif,79.0,79.0,80.0,80.0,0.0,1.0,0.0,1.0,success,,,,,,374x388,uint8,True,1.4021919000078924,3.8730422000517137,5.29026530002011
DB1_B,106_4.tif,data/raw/DB1_B/106_4.tif,77.0,58.0,58.0,58.0,-19.0,0.0,0.0,-19.0,success,,,,,,374x388,uint8,True,1.162685799994506,4.749538300035056,5.93949210003484
DB1_B,106_5.tif,data/raw/DB1_B/106_5.tif,71.0,66.0,67.0,69.0,-5.0,1.0,2.0,-2.0,success,,,,,,374x388,uint8,True,1.7496954000089318,4.286089300003368,6.047687600017525
DB1_B,106_6.tif,data/raw/DB1_B/106_6.tif,72.0,65.0,66.0,70.0,-7.0,1.0,4.0,-2.0,success,,,,,,374x388,uint8,True,1.360999200027436,4.6020590999978594,5.981561900000088
DB1_B,106_7.tif,data/raw/DB1_B/106_7.tif,76.0,83.0,76.0,83.0,7.0,-7.0,7.0,7.0,success,,,,,,374x388,uint8,True,1.444189700006973,4.653502400033176,6.122748200024944
DB1_B,106_8.tif,data/raw/DB1_B/106_8.tif,71.0,80.0,82.0,77.0,9.0,2.0,-5.0,6.0,success,,,,,,374x388,uint8,True,1.1067844000062905,4.4728243999998085,5.594367299985606
DB1_B,107_1.tif,data/raw/DB1_B/107_1.tif,71.0,64.0,65.0,63.0,-7.0,1.0,-2.0,-8.0,success,,,,,,374x388,uint8,True,0.9194820999982767,3.728679899999406,4.673387000046205
DB1_B,107_2.tif,data/raw/DB1_B/107_2.tif,74.0,68.0,70.0,70.0,-6.0,2.0,0.0,-4.0,success,,,,,,374x388,uint8,True,1.3464037000085227,4.073538099997677,5.453689799993299
DB1_B,107_3.tif,data/raw/DB1_B/107_3.tif,54.0,76.0,77.0,76.0,22.0,1.0,-1.0,22.0,success,,,,,,374x388,uint8,True,1.0054383000242524,4.4614642999949865,5.493978800019249
DB1_B,107_4.tif,data/raw/DB1_B/107_4.tif,73.0,66.0,66.0,74.0,-7.0,0.0,8.0,1.0,success,,,,,,374x388,uint8,True,1.1563643999979831,4.111409699951764,5.286077399970964
DB1_B,107_5.tif,data/raw/DB1_B/107_5.tif,60.0,57.0,60.0,57.0,-3.0,3.0,-3.0,-3.0,success,,,,,,374x388,uint8,True,1.059912999975495,4.232967599993572,5.314234400051646
DB1_B,107_6.tif,data/raw/DB1_B/107_6.tif,73.0,69.0,68.0,73.0,-4.0,-1.0,5.0,0.0,success,,,,,,374x388,uint8,True,1.4275271999649704,4.3063077999977395,5.754837299988139
DB1_B,107_7.tif,data/raw/DB1_B/107_7.tif,76.0,71.0,71.0,70.0,-5.0,0.0,-1.0,-6.0,success,,,,,,374x388,uint8,True,1.4889559000148438,3.79114440002013,5.300500400015153
DB1_B,107_8.tif,data/raw/DB1_B/107_8.tif,51.0,60.0,55.0,56.0,9.0,-5.0,1.0,5.0,success,,,,,,374x388,uint8,True,0.7961265000049025,3.6277501999866217,4.446202900027856
DB1_B,108_1.tif,data/raw/DB1_B/108_1.tif,71.0,71.0,72.0,70.0,0.0,1.0,-2.0,-1.0,success,,,,,,374x388,uint8,True,1.061390399991069,3.511867400025949,4.597526400000788
DB1_B,108_2.tif,data/raw/DB1_B/108_2.tif,79.0,70.0,66.0,69.0,-9.0,-4.0,3.0,-10.0,success,,,,,,374x388,uint8,True,1.1801989999949,3.890916600008495,5.091048599977512
DB1_B,108_3.tif,data/raw/DB1_B/108_3.tif,82.0,82.0,86.0,82.0,0.0,4.0,-4.0,0.0,success,,,,,,374x388,uint8,True,1.050833799992688,3.883704000036232,4.960139999981038
DB1_B,108_4.tif,data/raw/DB1_B/108_4.tif,75.0,72.0,65.0,73.0,-3.0,-7.0,8.0,-2.0,success,,,,,,374x388,uint8,True,1.0957437000470236,3.8589397000032477,4.971229599963408
DB1_B,108_5.tif,data/raw/DB1_B/108_5.tif,44.0,68.0,71.0,68.0,24.0,3.0,-3.0,24.0,success,,,,,,374x388,uint8,True,0.7727609000285156,3.896129100001417,4.689431399980094
DB1_B,108_6.tif,data/raw/DB1_B/108_6.tif,78.0,79.0,82.0,81.0,1.0,3.0,-1.0,3.0,success,,,,,,374x388,uint8,True,1.2482623999821953,4.191192600002978,5.468172200024128
DB1_B,108_7.tif,data/raw/DB1_B/108_7.tif,68.0,64.0,66.0,66.0,-4.0,2.0,0.0,-2.0,success,,,,,,374x388,uint8,True,0.7608364999759942,3.974264799966477,4.746315500000492
DB1_B,108_8.tif,data/raw/DB1_B/108_8.tif,79.0,59.0,59.0,60.0,-20.0,0.0,1.0,-19.0,success,,,,,,374x388,uint8,True,0.6710548999835737,3.9195788000361063,4.607279500050936
DB1_B,109_1.tif,data/raw/DB1_B/109_1.tif,42.0,48.0,49.0,51.0,6.0,1.0,2.0,9.0,success,,,,,,374x388,uint8,True,0.4398319000029005,4.022958900022786,4.483752899977844
DB1_B,109_2.tif,data/raw/DB1_B/109_2.tif,67.0,58.0,54.0,55.0,-9.0,-4.0,1.0,-12.0,success,,,,,,374x388,uint8,True,0.6248537999927066,4.102648100000806,4.748556200007442
DB1_B,109_3.tif,data/raw/DB1_B/109_3.tif,37.0,41.0,42.0,42.0,4.0,1.0,0.0,5.0,success,,,,,,374x388,uint8,True,0.3932329000090249,3.809978500008583,4.220022300025448
DB1_B,109_4.tif,data/raw/DB1_B/109_4.tif,27.0,44.0,44.0,46.0,17.0,0.0,2.0,19.0,success,,,,,,374x388,uint8,True,0.3396644000313245,3.6484848000109196,4.0092165999813005
DB1_B,109_5.tif,data/raw/DB1_B/109_5.tif,57.0,59.0,61.0,61.0,2.0,2.0,0.0,4.0,success,,,,,,374x388,uint8,True,0.45182269997894764,4.038831599988043,4.509416200045962
DB1_B,109_6.tif,data/raw/DB1_B/109_6.tif,15.0,34.0,31.0,31.0,19.0,-3.0,0.0,16.0,success,,,,,,374x388,uint8,True,0.5242442999733612,4.142363699967973,4.686259199981578
DB1_B,109_7.tif,data/raw/DB1_B/109_7.tif,65.0,68.0,69.0,70.0,3.0,1.0,1.0,5.0,success,,,,,,374x388,uint8,True,0.6404023999930359,4.107494700001553,4.766761299979407
DB1_B,109_8.tif,data/raw/DB1_B/109_8.tif,33.0,33.0,32.0,32.0,0.0,-1.0,0.0,-1.0,success,,,,,,374x388,uint8,True,0.3953637999948114,3.802027099998668,4.215142700006254
DB1_B,110_1.tif,data/raw/DB1_B/110_1.tif,49.0,56.0,58.0,56.0,7.0,2.0,-2.0,7.0,success,,,,,,374x388,uint8,True,0.5515024999622256,4.179229800007306,4.747639900015201
DB1_B,110_2.tif,data/raw/DB1_B/110_2.tif,53.0,59.0,59.0,59.0,6.0,0.0,0.0,6.0,success,,,,,,374x388,uint8,True,0.5281981999869458,4.308274800016079,4.8490023000049405
DB1_B,110_3.tif,data/raw/DB1_B/110_3.tif,53.0,56.0,57.0,56.0,3.0,1.0,-1.0,3.0,success,,,,,,374x388,uint8,True,0.6865551000228152,3.590021100011654,4.2925046000164
DB1_B,110_4.tif,data/raw/DB1_B/110_4.tif,51.0,62.0,60.0,62.0,11.0,-2.0,2.0,11.0,success,,,,,,374x388,uint8,True,0.5227756999665871,3.6875822999863885,4.219460399996024
DB1_B,110_5.tif,data/raw/DB1_B/110_5.tif,55.0,62.0,62.0,64.0,7.0,0.0,2.0,9.0,success,,,,,,374x388,uint8,True,0.6715181000181474,4.384328100015409,5.067403799970634
DB1_B,110_6.tif,data/raw/DB1_B/110_6.tif,54.0,52.0,51.0,56.0,-2.0,-1.0,5.0,2.0,success,,,,,,374x388,uint8,True,0.6182871999917552,4.115124400006607,4.7460175000014715
DB1_B,110_7.tif,data/raw/DB1_B/110_7.tif,81.0,72.0,71.0,75.0,-9.0,-1.0,4.0,-6.0,success,,,,,,374x388,uint8,True,0.7051699999719858,4.219364599965047,4.946738400030881
DB1_B,110_8.tif,data/raw/DB1_B/110_8.tif,61.0,60.0,63.0,65.0,-1.0,3.0,2.0,4.0,success,,,,,,374x388,uint8,True,0.6075518999714404,4.038124900020193,4.685249699978158
DB2_B,101_1.tif,data/raw/DB2_B/101_1.tif,71.0,83.0,81.0,82.0,12.0,-2.0,1.0,11.0,success,,,,,,560x296,uint8,True,0.9658039000350982,3.791230800037738,4.776261100021657
DB2_B,101_2.tif,data/raw/DB2_B/101_2.tif,70.0,87.0,88.0,84.0,17.0,1.0,-4.0,14.0,success,,,,,,560x296,uint8,True,1.1659823000081815,3.608805499970913,4.785397599975113
DB2_B,101_3.tif,data/raw/DB2_B/101_3.tif,59.0,67.0,68.0,71.0,8.0,1.0,3.0,12.0,success,,,,,,560x296,uint8,True,0.9889620000030845,3.958829099952709,4.960530199983623
DB2_B,101_4.tif,data/raw/DB2_B/101_4.tif,68.0,81.0,78.0,82.0,13.0,-3.0,4.0,14.0,success,,,,,,560x296,uint8,True,0.99573219998274,4.0975486999959685,5.102938600000925
DB2_B,101_5.tif,data/raw/DB2_B/101_5.tif,75.0,77.0,76.0,74.0,2.0,-1.0,-2.0,-1.0,success,,,,,,560x296,uint8,True,1.468892099976074,4.319425900001079,5.803762600000482
DB2_B,101_6.tif,data/raw/DB2_B/101_6.tif,63.0,67.0,70.0,68.0,4.0,3.0,-2.0,5.0,success,,,,,,560x296,uint8,True,1.2896623000269756,3.9140153999906033,5.2125966000021435
DB2_B,101_7.tif,data/raw/DB2_B/101_7.tif,21.0,29.0,29.0,33.0,8.0,0.0,4.0,12.0,success,,,,,,560x296,uint8,True,0.6091878000297584,3.8650600000401028,4.49241050001001
DB2_B,101_8.tif,data/raw/DB2_B/101_8.tif,21.0,36.0,34.0,37.0,15.0,-2.0,3.0,16.0,success,,,,,,560x296,uint8,True,0.8091417999821715,3.840524299943354,4.666778100014199
DB2_B,102_1.tif,data/raw/DB2_B/102_1.tif,68.0,74.0,76.0,72.0,6.0,2.0,-4.0,4.0,success,,,,,,560x296,uint8,True,1.1703777000075206,4.353523000027053,5.541750199976377
DB2_B,102_2.tif,data/raw/DB2_B/102_2.tif,63.0,69.0,71.0,70.0,6.0,2.0,-1.0,7.0,success,,,,,,560x296,uint8,True,1.1606670999899507,3.71927980001783,4.905253200035077
