scope,kind,metric,count,mean,median,standard_deviation,minimum,maximum,improved,declined,unchanged,positive_rate,negative_rate
DB1_B,stage,raw,80,62.0375,66.0,16.184414873887984,15.0,87.0,,,,,
DB1_B,stage,stage1_p1,80,61.8625,64.0,12.300811694942345,32.0,83.0,,,,,
DB1_B,stage,stage2_p1_p2,80,61.9125,65.0,12.918629223437687,31.0,86.0,,,,,
DB1_B,stage,stage3_p1_p2_p6,80,62.6625,65.5,13.079062163955319,31.0,83.0,,,,,
DB1_B,delta,delta_p1,80,-0.175,0.0,8.818529111830529,-20.0,24.0,36,38,6,0.45,0.475
DB1_B,delta,delta_p2,80,0.05,0.0,2.540307964984172,-7.0,10.0,37,26,17,0.4625,0.325
DB1_B,delta,delta_p6,80,0.75,0.0,3.410705409795027,-7.0,13.0,38,24,18,0.475,0.3
DB1_B,delta,delta_final,80,0.625,1.5,9.103310011449514,-19.0,24.0,44,31,5,0.55,0.3875
DB2_B,stage,raw,80,50.45,54.5,16.804083289185204,9.0,82.0,,,,,
DB2_B,stage,stage1_p1,80,57.1125,62.0,17.856668257707618,8.0,87.0,,,,,
DB2_B,stage,stage2_p1_p2,80,57.3625,61.5,17.102996813424248,8.0,88.0,,,,,
DB2_B,stage,stage3_p1_p2_p6,80,57.6,61.0,17.145394628355024,10.0,84.0,,,,,
DB2_B,delta,delta_p1,80,6.6625,6.0,7.379313799527618,-9.0,23.0,63,15,2,0.7875,0.1875
DB2_B,delta,delta_p2,80,0.25,0.0,2.631359084752857,-7.0,7.0,38,30,12,0.475,0.375
DB2_B,delta,delta_p6,80,0.2375,0.0,3.135116536303321,-9.0,8.0,37,33,10,0.4625,0.4125
DB2_B,delta,delta_final,80,7.15,6.0,7.998575822599509,-16.0,28.0,64,10,6,0.8,0.125
DB3_B,stage,raw,79,24.645569620253166,22.0,10.67472208811791,5.0,52.0,,,,,
DB3_B,stage,stage1_p1,80,24.675,23.5,11.956434632193831,1.0,52.0,,,,,
DB3_B,stage,stage2_p1_p2,80,26.3125,26.5,12.461173878506782,0.0,51.0,,,,,
DB3_B,stage,stage3_p1_p2_p6,80,26.4375,25.5,12.759552142848744,0.0,53.0,,,,,
DB3_B,delta,delta_p1,79,0.22784810126582278,0.0,6.664004661648813,-18.0,25.0,38,36,5,0.4810126582278481,0.45569620253164556
DB3_B,delta,delta_p2,80,1.6375,1.0,5.019566146969026,-16.0,15.0,44,29,7,0.55,0.3625
DB3_B,delta,delta_p6,80,0.125,0.0,2.5376905677646198,-6.0,9.0,31,31,18,0.3875,0.3875
DB3_B,delta,delta_final,79,1.9493670886075949,2.0,6.85920443577267,-17.0,17.0,49,23,7,0.620253164556962,0.2911392405063291
DB4_B,stage,raw,80,28.7625,29.5,12.815382124124968,3.0,51.0,,,,,
DB4_B,stage,stage1_p1,80,33.8625,37.0,12.011327723065676,3.0,53.0,,,,,
DB4_B,stage,stage2_p1_p2,80,34.5625,38.0,12.662956790716152,4.0,59.0,,,,,
DB4_B,stage,stage3_p1_p2_p6,80,34.7,38.5,12.77596636093318,4.0,59.0,,,,,
DB4_B,delta,delta_p1,80,5.1,4.5,6.712165414898684,-13.0,22.0,59,16,5,0.7375,0.2
DB4_B,delta,delta_p2,80,0.7,1.0,3.215468940345889,-9.0,9.0,41,26,13,0.5125,0.325
DB4_B,delta,delta_p6,80,0.1375,0.0,2.337063775040723,-4.0,8.0,29,27,24,0.3625,0.3375
DB4_B,delta,delta_final,80,5.9375,6.0,6.355190741991039,-14.0,20.0,68,11,1,0.85,0.1375
OVERALL,stage,raw,319,41.52664576802508,38.0,21.014783917905593,3.0,87.0,,,,,
OVERALL,stage,stage1_p1,320,44.378125,43.0,20.736233252789827,1.0,87.0,,,,,
OVERALL,stage,stage2_p1_p2,320,45.0375,44.5,20.41801021318754,0.0,88.0,,,,,
OVERALL,stage,stage3_p1_p2_p6,320,45.35,45.0,20.660321943796436,0.0,84.0,,,,,
OVERALL,delta,delta_p1,319,2.9623824451410656,3.0,7.991258704969684,-20.0,25.0,196,105,18,0.6144200626959248,0.329153605015674
OVERALL,delta,delta_p2,320,0.659375,0.5,3.5339250936314595,-16.0,15.0,160,111,49,0.5,0.346875
OVERALL,delta,delta_p6,320,0.3125,0.0,2.8858915270598984,-9.0,13.0,135,115,70,0.421875,0.359375
OVERALL,delta,delta_final,319,3.9216300940438873,4.0,8.086995685743245,-19.0,28.0,225,75,19,0.7053291536050157,0.23510971786833856
